# Global warming potential (100 years),
# From WMO 2022 apart from entries after SO2F2 which are from literature. GWP for CH4 is non-fossil only,
Species,GWP
CO2,1
CH4,27
N2O,273
CFC-11,6410
CFC-12,12500
CFC-13,16300
CFC-112,4600
CFC-112a,3550
CFC-113,6530
CFC-113a,3930
CFC-114,9450
CFC-114a,7410
CFC-115,9630
CFC-216ba,8580
CFC-216ca,7540
HCFC-21,161
HCFC-22,1910
HCFC-31,85
HCFC-121,58
HCFC-121a,165
HCFC-122,57
HCFC-122a,248
HCFC-122b,772
HCFC-123,91
HCFC-123a,400
HCFC-123b,1220
HCFC-124,596
HCFC-124a,2080
HCFC-131,32
HCFC-131a,181
HCFC-131b,128
HCFC-132,126
HCFC-132a,71
HCFC-132b,332
HCFC-132c,345
HCFC-133,298
HCFC-133a,378
HCFC-133b,834
HCFC-141,48
HCFC-141a,16
HCFC-141b,808
HCFC-142,189
HCFC-142a,116
HCFC-142b,2190
HCFC-151,12
HCFC-151a,58
HCFC-221aa,41
HCFC-221ab,114
HCFC-221ba,46
HCFC-221da,189
HCFC-221ea,186
HCFC-222aa,63
HCFC-222ab,158
HCFC-222ac,525
HCFC-222ba,59
HCFC-222bb,161
HCFC-222ca,73
HCFC-222da,316
HCFC-222db,306
HCFC-222ea,295
HCFC-223aa,60
HCFC-223ab,246
HCFC-223ac,739
HCFC-223ba,98
HCFC-223bb,207
HCFC-223bc,725
HCFC-223ca,90
HCFC-223cb,258
HCFC-223da,551
HCFC-223db,419
HCFC-223ea,485
HCFC-223eb,464
HCFC-224aa,236
HCFC-224ab,1030
HCFC-224ba,90
HCFC-224bb,344
HCFC-224bc,1050
HCFC-224ca,142
HCFC-224cb,116
HCFC-224cc,1180
HCFC-224da,1090
HCFC-224db,811
HCFC-224ea,856
HCFC-224eb,633
HCFC-225aa,1040
HCFC-225ba,350
HCFC-225bb,1650
HCFC-225ca,137
HCFC-225cb,557
HCFC-225cc,1580
HCFC-225da,1620
HCFC-225ea,1700
HCFC-225eb,1270
HCFC-226ba,1630
HCFC-226ca,509
HCFC-226cb,2610
HCFC-226da,2630
HCFC-226ea,2680
HCFC-231aa,28
HCFC-231ab,79
HCFC-231ac,98
HCFC-231ba,18
HCFC-231bb,113
HCFC-231da,20
HCFC-231db,52
HCFC-231ea,28
HCFC-231fa,344
HCFC-232aa,86
HCFC-232ab,44
HCFC-232ac,169
HCFC-232ad,146
HCFC-232ba,48
HCFC-232bb,168
HCFC-232bc,219
HCFC-232ca,27
HCFC-232cb,278
HCFC-232da,43
HCFC-232db,89
HCFC-232dc,155
HCFC-232ea,41
HCFC-232eb,110
HCFC-232fa,722
HCFC-232fb,736
HCFC-233aa,158
HCFC-233ab,163
HCFC-233ac,306
HCFC-233ba,138
HCFC-233bb,71
HCFC-233bc,399
HCFC-233bd,307
HCFC-233ca,71
HCFC-233cb,372
HCFC-233cc,501
HCFC-233da,42
HCFC-233db,182
HCFC-233dc,282
HCFC-233ea,57
HCFC-233eb,165
HCFC-233ec,314
