# Global annual emissions for HFC-134a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:34:22.320634+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,2.777066769209341,10.348277050224713
1974,6,1974.46,2.1672669795225374,8.650802267088096
1975,6,1975.46,1.902074704397819,7.058213355308781
1976,6,1976.46,1.8341450984444236,9.8356231750666
1977,6,1977.46,1.8181770003720885,6.797798157536943
1978,6,1978.46,1.5053622579143848,6.035887548570632
1979,6,1979.46,1.0299774591549067,6.437879678928723
1980,6,1980.46,0.8375350984861143,8.737689108236923
1981,6,1981.46,1.2705142660415731,7.96416634536774
1982,6,1982.46,1.5178329861810198,7.076576731017323
1983,6,1983.46,1.2308098718785914,6.158926974063903
1984,6,1984.46,1.452784728986444,5.686261629304753
1985,6,1985.46,1.2988725705945399,6.186796923181853
1986,6,1986.46,1.0441797607782064,6.903199354978986
1987,6,1987.46,1.2929595930763753,6.325398113725299
1988,6,1988.46,1.2307828922203043,6.16717399551902
1989,6,1989.46,1.489209505947656,6.4999175599469154
1990,6,1990.46,1.0399226192675997,6.53983777465133
1991,6,1991.46,0.3062258704290488,6.585213257287211
1992,6,1992.46,1.3926748658467296,6.6180638134614505
1993,6,1993.46,5.60073853211135,6.505384989531339
1994,6,1994.46,13.49538705148825,6.1492797602053955
1995,6,1995.46,20.726005844904623,2.0555058363522347
1996,6,1996.46,33.810393871894185,2.110507793231885
1997,6,1997.46,41.11941677502593,2.589521010493064
1998,6,1998.46,56.736194528488376,3.092863225494201
1999,6,1999.46,70.03992700110707,3.705982200723654
2000,6,2000.46,77.63085923905214,4.352673113287937
2001,6,2001.46,84.88381596326671,4.926822521052188
2002,6,2002.46,99.21605113751396,6.106559452578656
2003,6,2003.46,108.21299829273495,6.927705174954264
2004,6,2004.46,116.74484818434304,7.9192784412313815
2005,6,2005.46,122.77888305148849,9.073029918436047
2006,6,2006.46,126.15726909098483,9.93882831146583
2007,6,2007.46,136.8091648281857,10.987928646475853
2008,6,2008.46,147.33242573341548,12.236206480365919
2009,6,2009.46,153.18387420616475,13.275456792916634
2010,6,2010.46,168.8023092058141,14.53012397854142
2011,6,2011.46,170.63698266940295,15.933929309693461
2012,6,2012.46,177.58644428479522,16.86877977251399
2013,6,2013.46,185.04142604211495,18.236092643975336
2014,6,2014.46,197.91887388964824,19.52111803645314
2015,6,2015.46,209.86845054760045,20.805304302200852
2016,6,2016.46,226.2204161795801,22.352490682409925
2017,6,2017.46,237.2120838899697,23.870882036447647
2018,6,2018.46,239.35633828711437,25.316799005449223
2019,6,2019.46,244.46831948267757,26.748618386562757
2020,6,2020.46,247.99351628409173,28.254157771863884
2021,6,2021.46,262.2415521999082,29.409443175198927
2022,6,2022.46,262.0612388886548,30.941290349221706
2023,6,2023.46,265.35583257006584,32.391030701328894
2024,6,2024.46,268.9492484522381,35.06510639268404
