# Global annual emissions with no systematic uncertainty for HFC-134a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:34:22.326677+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1973,6,1973.46,2.777066769209341,10.470314301156579
1974,6,1974.46,2.1672669795225374,8.645220163229935
1975,6,1975.46,1.902074704397819,7.482329829072784
1976,6,1976.46,1.8341450984444236,9.355063141134545
1977,6,1977.46,1.8181770003720885,6.97293878045015
1978,6,1978.46,1.5053622579143848,6.271802904980649
1979,6,1979.46,1.0299774591549067,6.824444584146322
1980,6,1980.46,0.8375350984861143,8.166046785074396
1981,6,1981.46,1.2705142660415731,7.498893772825759
1982,6,1982.46,1.5178329861810198,6.97837947247094
1983,6,1983.46,1.2308098718785914,6.346722536905476
1984,6,1984.46,1.452784728986444,5.592171727080131
1985,6,1985.46,1.2988725705945399,5.9692731871380005
1986,6,1986.46,1.0441797607782064,7.036762371328212
1987,6,1987.46,1.2929595930763753,6.078062131941956
1988,6,1988.46,1.2307828922203043,6.004147891163778
1989,6,1989.46,1.489209505947656,6.431237209389476
1990,6,1990.46,1.0399226192675997,6.444168751255426
1991,6,1991.46,0.3062258704290488,6.958483951034297
1992,6,1992.46,1.3926748658467296,7.14862428637065
1993,6,1993.46,5.60073853211135,6.838708513344465
1994,6,1994.46,13.49538705148825,6.1348238573172855
1995,6,1995.46,20.726005844904623,1.9388590734078401
1996,6,1996.46,33.810393871894185,1.8385819856608516
1997,6,1997.46,41.11941677502593,2.2339529993254152
1998,6,1998.46,56.736194528488376,2.2261627086144817
1999,6,1999.46,70.03992700110707,2.1565582478683964
2000,6,2000.46,77.63085923905214,2.225173429518667
2001,6,2001.46,84.88381596326671,2.2863097518761757
2002,6,2002.46,99.21605113751396,2.712398617223477
2003,6,2003.46,108.21299829273495,2.944515230048239
2004,6,2004.46,116.74484818434304,2.9980834095001794
2005,6,2005.46,122.77888305148849,3.19404093953096
2006,6,2006.46,126.15726909098483,2.9298840652643747
2007,6,2007.46,136.8091648281857,2.706514635968943
2008,6,2008.46,147.33242573341548,2.873604447261264
2009,6,2009.46,153.18387420616475,3.0675955814067577
2010,6,2010.46,168.8023092058141,3.264829226214525
2011,6,2011.46,170.63698266940295,3.5383789222843034
2012,6,2012.46,177.58644428479522,3.3237612863555035
2013,6,2013.46,185.04142604211495,3.154989322245035
2014,6,2014.46,197.91887388964824,3.312430692774948
2015,6,2015.46,209.86845054760045,3.5405717210151173
2016,6,2016.46,226.2204161795801,3.293557615319097
2017,6,2017.46,237.2120838899697,3.5773203694226137
2018,6,2018.46,239.35633828711437,3.4702076465602083
2019,6,2019.46,244.46831948267757,3.46785875484593
2020,6,2020.46,247.99351628409173,3.684440061661879
2021,6,2021.46,262.2415521999082,3.9056491522460552
2022,6,2022.46,262.0612388886548,3.9217353922617284
2023,6,2023.46,265.35583257006584,4.313617440471525
2024,6,2024.46,268.9492484522381,13.193092504033611
