# Global annual mole fraction for HFC-134a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:34:22.276529+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1973,6,1973.46,0.5350026442093917,0.991706230434221
1974,6,1974.46,0.5974367813013705,0.7994990704909959
1975,6,1975.46,0.6336692563767345,0.7118927748658006
1976,6,1976.46,0.6585413667863538,0.5775177909661555
1977,6,1977.46,0.6834764780654047,0.5643846175250719
1978,6,1978.46,0.7022467457532665,0.511242524216359
1979,6,1979.46,0.6876216223398948,0.57314618521133
1980,6,1980.46,0.6616259823574256,0.4631560137280774
1981,6,1981.46,0.647159664689347,0.5847738427695733
1982,6,1982.46,0.660125003484714,0.46792837037593304
1983,6,1983.46,0.6685026433534413,0.41012725159017827
1984,6,1984.46,0.6715111165908895,0.48704648764984565
1985,6,1985.46,0.6811928957698482,0.46448354070035014
1986,6,1986.46,0.6674433588590841,0.4031104909057102
1987,6,1987.46,0.6674959665762162,0.48318175835429233
1988,6,1988.46,0.6670048190543717,0.3930368389604351
1989,6,1989.46,0.6840608591994565,0.37198469079648705
1990,6,1990.46,0.7014158608894192,0.38346775067778643
1991,6,1991.46,0.6456968293653543,0.39234481141911226
1992,6,1992.46,0.651225227487056,0.4391362662871902
1993,6,1993.46,0.8107720956230451,0.3929149574210699
1994,6,1994.46,1.2951146974854988,0.3062964608609737
1995,6,1995.46,2.1977276937214603,0.27166874793675605
1996,6,1996.46,3.661728930783552,0.2639072982580214
1997,6,1997.46,5.515856143374204,0.2660319713459856
1998,6,1998.46,8.030662486200411,0.26149644453274334
1999,6,1999.46,11.17727785994195,0.27363320397328383
2000,6,2000.46,14.518593412691047,0.3019470954523549
2001,6,2001.46,17.963741445477538,0.3314236868708792
2002,6,2002.46,21.806628383678206,0.36687311728748695
2003,6,2003.46,25.921525396331855,0.41751874067921096
2004,6,2004.46,30.365337493287594,0.47572363077173363
2005,6,2005.46,34.720445645946064,0.5341138343847891
2006,6,2006.46,38.99580119224713,0.5894727410162937
2007,6,2007.46,43.360168508389556,0.6587796510986196
2008,6,2008.46,48.08515114535854,0.7301504204272373
2009,6,2009.46,52.747013597477356,0.8012694774609718
2010,6,2010.46,57.79153288667569,0.873375475451249
2011,6,2011.46,62.8142108211461,0.9445962881419401
2012,6,2012.46,67.73365561417944,1.0194233703858826
2013,6,2013.46,72.71611174102213,1.0954242761652981
2014,6,2014.46,77.92166415828969,1.175153971366924
2015,6,2015.46,83.39215319906482,1.2548250523155728
2016,6,2016.46,89.36747506319155,1.343067829780766
2017,6,2017.46,95.7286975606808,1.442219133337135
2018,6,2018.46,101.68486445594436,1.5287392484306463
2019,6,2019.46,107.47671155831931,1.616508871739151
2020,6,2020.46,112.95571839756174,1.6988876848026218
2021,6,2021.46,118.66196123003813,1.7865167217302294
2022,6,2022.46,124.35173466541617,1.8737213651559743
2023,6,2023.46,129.54579906710416,1.9515486690013486
2024,6,2024.46,134.6744148957059,2.0663788720534924
