# Global mole fraction growth rate for HFC-134a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:34:22.289702+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_mole_fraction_growth_rate,Global_mole_fraction_growth_rate_1-sigma
1973,1,1973.04,0.10811939509987949,0.6305318568345561
1973,2,1973.12,0.10351805750284315,0.6282584691224381
1973,3,1973.21,0.09862664916546088,0.6261023807207058
1973,4,1973.29,0.09416148469413291,0.6227961707970053
1973,5,1973.37,0.09058544180312225,0.6163587976859977
1973,6,1973.46,0.08765829063026488,0.605469762462999
1973,7,1973.54,0.08450410349503001,0.5899435935415902
1973,8,1973.62,0.08055006113983042,0.5699653207992675
1973,9,1973.71,0.07591646516037151,0.5459114645507006
1973,10,1973.79,0.07123409019162485,0.5183110598696253
1973,11,1973.87,0.0669285031736501,0.48868430172538246
1973,12,1973.96,0.06299290100483475,0.46034100310032805
1974,1,1974.04,0.05913911449924085,0.43751873207845804
1974,2,1974.12,0.055223287516379976,0.4228599408095631
1974,3,1974.21,0.05152740075627622,0.4163854706888456
1974,4,1974.29,0.0487342340312811,0.41604432003226194
1974,5,1974.37,0.04724536715855375,0.4186090931554519
1974,6,1974.46,0.04672087437982625,0.42037059609539135
1974,7,1974.54,0.046141845441466454,0.4170978640471893
1974,8,1974.62,0.044815910536056,0.4057664696311673
1974,9,1974.71,0.042777260036596564,0.38624686208683423
1974,10,1974.79,0.04058675185149778,0.36112208083710634
1974,11,1974.87,0.03860997457828246,0.3342970524629903
1974,12,1974.96,0.0368031870740281,0.3104879582196624
1975,1,1975.04,0.03486883009402568,0.29422937934323934
1975,2,1975.12,0.03266517242695301,0.2890613252956635
1975,3,1975.21,0.030496273491950953,0.2967695613257371
1975,4,1975.29,0.029095549258663405,0.31648012813279713
1975,5,1975.37,0.028904665014468107,0.34420117537489503
1975,6,1975.46,0.029597266438050527,0.37500072271131774
1975,7,1975.54,0.03014795111038115,0.40445401020214694
1975,8,1975.62,0.029871922438208177,0.4299854145205545
1975,9,1975.71,0.028820897791518744,0.45132577539596636
1975,10,1975.79,0.027572058218212916,0.469489161997343
1975,11,1975.87,0.02651095578932151,0.4850283231582316
1975,12,1975.96,0.025620818924596007,0.4973151655789926
1976,1,1976.04,0.02463628917499968,0.5046524112514484
1976,2,1976.12,0.02343696462335533,0.5060515398153226
1976,3,1976.21,0.022338105768741574,0.5022949346477186
1976,4,1976.29,0.022080568200634813,0.4950847171919307
1976,5,1976.37,0.023091558931014753,0.48559910114294436
1976,6,1976.46,0.025005311187649374,0.47458314494692116
1976,7,1976.54,0.02673691509118377,0.4624166026360858
1976,8,1976.62,0.027542712487065052,0.4490633019076189
1976,9,1976.71,0.02741477544681561,0.434621721845924
1976,10,1976.79,0.02686394571559487,0.41885110022959304
1976,11,1976.87,0.026237809083406238,0.40138640127873265
1976,12,1976.96,0.025525818131482532,0.38261476982063625
1977,1,1977.04,0.024505684875069007,0.3636714009371572
1977,2,1977.12,0.023110225435873762,0.3463178614216675
1977,3,1977.21,0.02170806413682245,0.33316350353559016
1977,4,1977.29,0.02109829228644204,0.3268663146177662
1977,5,1977.37,0.021745783269473216,0.3284735132766896
1977,6,1977.46,0.023295190535224893,0.3373382799803519
1977,7,1977.54,0.02465043492121687,0.3508841014782211
1977,8,1977.62,0.025028118662066254,0.36466543178599814
1977,9,1977.71,0.0243464353775785,0.3741658410184695
1977,10,1977.79,0.023010127421021872,0.37564377628388385
1977,11,1977.87,0.02127374099737178,0.3673186078066387
1977,12,1977.96,0.019068658246806095,0.35005357487889716
1978,1,1978.04,0.01614228527123889,0.3267973959433236
1978,2,1978.12,0.0124389814592039,0.30215353449688587
1978,3,1978.21,0.008383845502017451,0.28270536369433746
