# Semihemispheric annual emissions for HFC-143a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:19.824529+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_box0,Semihemispheric_annual_emissions_box1,Semihemispheric_annual_emissions_box2,Semihemispheric_annual_emissions_box3,Semihemispheric_annual_emissions_1-sigma_box0,Semihemispheric_annual_emissions_1-sigma_box1,Semihemispheric_annual_emissions_1-sigma_box2,Semihemispheric_annual_emissions_1-sigma_box3
1973,6,1973.46,-1.4087011164538126,0.7356668969150633,3.2216541157768006,-2.1366017224938787,3.830527725740873,4.532314141505123,1.7975981465170539,1.6270098827946378
1974,6,1974.46,-1.5421914844519051,0.7319981467844627,3.221943294353423,-2.135972048133681,3.6440277062857733,4.427004959698321,1.7652372467087054,1.571574085610596
1975,6,1975.46,-1.5721222275369655,0.7338577550581249,3.222537821995047,-2.135065042871247,3.4433227359725316,4.375989948331811,1.7325201921194977,1.53147746447137
1976,6,1976.46,-1.629635521921955,0.7313096618599957,3.2228126207005516,-2.134366331284582,3.8139164726123567,4.314889660689016,1.70160629921263,1.480496679718905
1977,6,1977.46,-1.6867730326093806,0.7309679149548174,3.2231858911845848,-2.1336311319228116,3.358551257779912,4.181004703553929,1.690315357986214,1.4334606149297788
1978,6,1978.46,-1.6619161908856768,0.7409481881586544,3.223690558760154,-2.135742964659812,3.1747003843097255,4.145566987414323,1.65714072735423,1.4195669485633446
1979,6,1979.46,-1.6086475438496564,0.7890553693141555,3.2501744688142935,-2.1041105142462584,3.237704983271664,4.023569437748433,1.6224875061844681,1.3997680713921103
1980,6,1980.46,-1.7801901219081628,0.8169947217156732,3.2740132403378084,-2.0387629480014766,3.3924573648181573,3.971104146868701,1.583845764628821,1.3693020130443614
1981,6,1981.46,-2.021859000150471,0.816797514562495,3.2862265154317356,-1.9936214557544645,3.264267294212345,3.8768827622259416,1.55193213190359,1.3238396819713198
1982,6,1982.46,-2.0855487734397684,0.8214118277846865,3.2930588087792785,-1.9677245724833483,2.937184539662103,3.792880185887785,1.5162317599016257,1.296595320476929
1983,6,1983.46,-2.0632602842924825,0.8141112246212288,3.294887581430885,-1.9500547500363155,2.975744196014147,3.6887321483835604,1.4778399894130676,1.2500339975996073
1984,6,1984.46,-2.0199417214544155,0.7809096030632645,3.2864875686830146,-1.9427773777736093,2.7721714493385448,3.5879061104568395,1.4582493775655023,1.245972827570617
1985,6,1985.46,-1.6137712575400656,0.757733340093182,3.2703810090301886,-1.9700385356193237,2.8345763502975743,3.522137646445677,1.4267002936049387,1.2336931431355538
1986,6,1986.46,-0.8848142572455799,0.7393259167338329,3.2566519965390626,-1.989565056244487,2.8484385075385807,3.4313541480050844,1.3986620671042738,1.2263150228692532
1987,6,1987.46,-0.9854017232096339,0.6426717540743994,3.219904993722821,-2.02913179211788,2.7378953362196095,3.356554853752943,1.3767753528130406,1.1848548946156534
1988,6,1988.46,-0.7399732071373819,0.5741879254765081,3.1841467319274557,-2.111157227853653,2.536763127852342,3.2402108253766166,1.3561268855062192,1.1460746593745512
1989,6,1989.46,-0.75499725632028,0.5655317377752311,3.1782576288746895,-2.1337710787091737,2.728598008625175,3.1393601385093044,1.3295670787340568,1.1174584410321595
1990,6,1990.46,-0.7376405078163089,0.551770038812947,3.17922339506228,-2.1174486566398087,2.52234889669436,3.0372033773867453,1.3049170307446885,1.0963291530793795
1991,6,1991.46,-0.7745844165865492,0.5270838527205228,3.171797449870077,-2.1384763418303834,2.599921029317453,2.8728004792622097,1.2845373563451052,1.0658713087965177
1992,6,1992.46,-0.7988039772333336,0.5331001430243322,3.177218577305919,-2.1164419703250297,2.567086425606966,2.820477363321835,1.2638011261223707,1.0636599837917964
