# Semihemispheric annual emissions with no systematic uncertainty for HFC-143a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:19.834693+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box3,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box3
1973,6,1973.46,-1.4087011164538126,0.7356668969150633,3.2216541157768006,-2.1366017224938787,3.590035373432043,4.426783819942271,1.8074398863291554,1.6016801875818332
1974,6,1974.46,-1.5421914844519051,0.7319981467844627,3.221943294353423,-2.135972048133681,3.514865404090667,4.366543271122061,1.7618500173087346,1.5609163756570321
1975,6,1975.46,-1.5721222275369655,0.7338577550581249,3.222537821995047,-2.135065042871247,3.3336418528474097,4.258734110551996,1.7435119566698052,1.5137126551846751
1976,6,1976.46,-1.629635521921955,0.7313096618599957,3.2228126207005516,-2.134366331284582,3.636819536250271,4.137096022942229,1.7281429278209026,1.4637460743491644
1977,6,1977.46,-1.6867730326093806,0.7309679149548174,3.2231858911845848,-2.1336311319228116,3.201091321230146,4.01073101576,1.6947480261454453,1.429937660923632
1978,6,1978.46,-1.6619161908856768,0.7409481881586544,3.223690558760154,-2.135742964659812,3.1475057572470018,3.933005452014602,1.6489294897868754,1.410021637565041
1979,6,1979.46,-1.6086475438496564,0.7890553693141555,3.2501744688142935,-2.1041105142462584,3.0397527083985314,3.899807092614387,1.6353357284259211,1.382759138399381
1980,6,1980.46,-1.7801901219081628,0.8169947217156732,3.2740132403378084,-2.0387629480014766,3.3662266966892798,3.796927457350764,1.6109315341481194,1.3573610100663782
1981,6,1981.46,-2.021859000150471,0.816797514562495,3.2862265154317356,-1.9936214557544645,3.1006697679390287,3.770592547154015,1.5793676622297015,1.3750760104849487
1982,6,1982.46,-2.0855487734397684,0.8214118277846865,3.2930588087792785,-1.9677245724833483,2.942962099081247,3.6727123771284313,1.5350376741705967,1.3279314733530927
1983,6,1983.46,-2.0632602842924825,0.8141112246212288,3.294887581430885,-1.9500547500363155,2.9980004189733664,3.595633723074435,1.5200486890656848,1.2783712815568244
1984,6,1984.46,-2.0199417214544155,0.7809096030632645,3.2864875686830146,-1.9427773777736093,2.6984266223599986,3.568853421115732,1.4908855901116091,1.2678675610491599
