# EDGAR v4?,,,,
# UNITS: Gg/yr,,,,
year,box_0,box_1,box_2,box_3
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0.01104,0.0006,0.00024,0.00012
1991,1.1638,0.06325,0.0253,0.01265
1992,2.33772,0.12705,0.05082,0.02541
1993,3.5567108,0.1932995,0.0773198,0.0386599
1994,4.7748092,0.2595005,0.1038002,0.0519001
1995,6.7574092,0.3672505,0.1469002,0.0734501
1996,8.1447692,0.4426505,0.1770602,0.0885301
1997,9.43644,0.51285,0.20514,0.10257
1998,10.73088,0.5832,0.23328,0.11664
1999,12.16516,0.66115,0.26446,0.13223
2000,13.9821508,0.7598995,0.3039598,0.1519799
2001,14.64732,0.79605,0.31842,0.15921
2002,17.0714648,0.927797,0.3711188,0.1855594
2003,18.9565356,1.0302465,0.4120986,0.2060493
2004,20.1139876,1.0931515,0.4372606,0.2186303
2005,21.1664952,1.150353,0.4601412,0.2300706
2006,22.8577128,1.242267,0.4969068,0.2484534
2007,24.2847432,1.319823,0.5279292,0.2639646
2008,25.7118472,1.397383,0.5589532,0.2794766
2009,25.7118472,1.397383,0.5589532,0.2794766
2010,25.7118472,1.397383,0.5589532,0.2794766
2011,25.7118472,1.397383,0.5589532,0.2794766
2012,25.7118472,1.397383,0.5589532,0.2794766
2013,25.7118472,1.397383,0.5589532,0.2794766
2014,25.7118472,1.397383,0.5589532,0.2794766
2015,25.7118472,1.397383,0.5589532,0.2794766
2016,25.7118472,1.397383,0.5589532,0.2794766
2017,25.7118472,1.397383,0.5589532,0.2794766
2018,25.7118472,1.397383,0.5589532,0.2794766
2019,25.7118472,1.397383,0.5589532,0.2794766
2020,25.7118472,1.397383,0.5589532,0.2794766
2021,25.7118472,1.397383,0.5589532,0.2794766
2022,25.7118472,1.397383,0.5589532,0.2794766
2023,25.7118472,1.397383,0.5589532,0.2794766
2024,25.7118472,1.397383,0.5589532,0.2794766
2025,25.7118472,1.397383,0.5589532,0.2794766
2026,25.7118472,1.397383,0.5589532,0.2794766
2027,25.7118472,1.397383,0.5589532,0.2794766
2028,25.7118472,1.397383,0.5589532,0.2794766
