# Global annual mole fraction Jan for HFC-152a 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.928828+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction_Jan,Global_annual_mole_fraction_Jan_1-sigma
1973,12,1973.96,0.39365225492551853,0.15403397242839229
1974,12,1974.96,0.4129691582235328,0.15531378080967295
1975,12,1975.96,0.44789260184043883,0.13301631185974874
1976,12,1976.96,0.4593713301389908,0.15429392774473252
1977,12,1977.96,0.4443854948740595,0.12949718500265814
1978,12,1978.96,0.4443609715640571,0.12253495209834105
1979,12,1979.96,0.45183414159330887,0.10705180053990164
1980,12,1980.96,0.4510087726843121,0.1237515440927053
1981,12,1981.96,0.40731915769197613,0.12228602639992417
1982,12,1982.96,0.4943201157584413,0.08679528469443605
1983,12,1983.96,0.592222918497286,0.1114260435275082
1984,12,1984.96,0.5808310543806555,0.14564378742095915
1985,12,1985.96,0.5428363748332642,0.13367785218705985
1986,12,1986.96,0.4907132120117961,0.12590370726905187
1987,12,1987.96,0.47983457470083796,0.12130758859796839
1988,12,1988.96,0.5387699564435179,0.0828819579133695
1989,12,1989.96,0.5478432197370332,0.0945540313691185
1990,12,1990.96,0.5392293367981899,0.08513081142540735
1991,12,1991.96,0.5466771926412065,0.10080545668306252
1992,12,1992.96,0.6027758087386915,0.10419752432849393
1993,12,1993.96,0.7621408252554153,0.08416008257793947
1994,12,1994.96,0.9697665766158102,0.06717808873978917
1995,12,1995.96,1.0771750971935432,0.06450405047078371
1996,12,1996.96,1.1729167743006295,0.06466355084910765
1997,12,1997.96,1.3618021445604318,0.06700435948248548
1998,12,1998.96,1.5871594025042566,0.06851341180728762
1999,12,1999.96,1.7550597706856068,0.07088796719392187
2000,12,2000.96,1.9789219665848918,0.0749168936400977
2001,12,2001.96,2.219065146498949,0.08029301028427138
2002,12,2002.96,2.6164656976330387,0.0907746147977131
2003,12,2003.96,3.029433593099082,0.10103121478074703
2004,12,2004.96,3.4594810330454404,0.11100353986467318
2005,12,2005.96,4.08511699295669,0.12759536751830958
2006,12,2006.96,4.883465260906043,0.14998530143517044
2007,12,2007.96,5.5833754763540036,0.1718937486101536
2008,12,2008.96,5.941188704708878,0.1833225834754523
2009,12,2009.96,6.134661296028514,0.18732559048367764
2010,12,2010.96,6.48966112586013,0.19884514363073516
2011,12,2011.96,6.756209091057644,0.21022912637174676
2012,12,2012.96,6.824728775956395,0.20782682447673645
2013,12,2013.96,6.730358383036545,0.2067725722721667
2014,12,2014.96,6.689275891654378,0.20671842940895555
2015,12,2015.96,6.699903991923445,0.20622209186427332
2016,12,2016.96,6.778138227435249,0.2083577439409278
2017,12,2017.96,6.945910367871235,0.21535541218743293
2018,12,2018.96,7.100596287202667,0.21740305158667728
2019,12,2019.96,7.210647376882624,0.221260226718481
2020,12,2020.96,7.226472336490531,0.2220068638404295
2021,12,2021.96,7.396175014552143,0.23049261504279261
2022,12,2022.96,7.436934992153339,0.22890094465291613
2023,12,2023.96,7.520471979666843,0.23339993981592969
