# EDGAR v4?,,,,
# UNITS: Gg/yr,,,,
year,box_0,box_1,box_2,box_3
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0.0043,0.0003,0,0.0001
1992,0.0043,0.0003,0,0.0001
1993,0.169,0.011,0.0007,0.0028
1994,0.166,0.0109,0.0007,0.0028
1995,0.0911,0.006,0.0004,0.0016
1996,0.3962,0.0264,0.0018,0.0069
1997,0.3702,0.0251,0.0018,0.0065
1998,0.8379,0.0608,0.0042,0.0148
1999,1.2203,0.0891,0.0061,0.0218
2000,1.746,0.1301,0.0092,0.0308
2001,1.4708,0.1102,0.0091,0.0263
2002,2.2333,0.1685,0.016,0.0404
2003,3.0287,0.233,0.0245,0.0535
2004,3.853,0.2995,0.0354,0.0676
2005,4.4189,0.3466,0.0453,0.0773
2006,5.1151,0.4001,0.0513,0.0899
2007,5.7938,0.4604,0.06,0.1014
2008,6.4602,0.514,0.068,0.1131
2009,6.4602,0.514,0.068,0.1131
2010,6.4602,0.514,0.068,0.1131
2011,6.4602,0.514,0.068,0.1131
2012,6.4602,0.514,0.068,0.1131
2013,6.4602,0.514,0.068,0.1131
2014,6.4602,0.514,0.068,0.1131
2015,6.4602,0.514,0.068,0.1131
2016,6.4602,0.514,0.068,0.1131
2017,6.4602,0.514,0.068,0.1131
2018,6.4602,0.514,0.068,0.1131
2019,6.4602,0.514,0.068,0.1131
2020,6.4602,0.514,0.068,0.1131
2021,6.4602,0.514,0.068,0.1131
2022,6.4602,0.514,0.068,0.1131
2023,6.4602,0.514,0.068,0.1131
2024,6.4602,0.514,0.068,0.1131
2025,6.4602,0.514,0.068,0.1131
2026,6.4602,0.514,0.068,0.1131
2027,6.4602,0.514,0.068,0.1131
2028,6.4602,0.514,0.068,0.1131
