# AGAGE data for HFC-227ea
# Created by lw13938 on 2024-05-29 14:28:33.876163
# Contact AGAGE data owners before use 
# This file contains data from the following sites/instruments: 
#===================================================
# MHD 
#   1. Medusa
#------------------
# THD 
#   1. Medusa
#   2. Archive
#  Instruments combined in above order of preference
#------------------
# RPB 
#   1. Medusa
#------------------
# SMO 
#   1. Medusa
#------------------
# CGO 
#   1. Medusa
#   2. Archive
#  Instruments combined in above order of preference
#------------------
# SCALE: SIO-14
# UNITS: ppt
var,mf,mf,mf,mf,mf_variability,mf_variability,mf_variability,mf_variability,sites,sites,sites,sites,instruments,instruments,instruments,instruments
box,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
1973-06-01,0.0,,,,0.010960155108391486,,,,THD,,,,|Archive,,,
1973-07-01,,,,,,,,,,,,,|,,,
1973-08-01,,,,,,,,,,,,,|,,,
1973-09-01,,,,,,,,,,,,,|,,,
1973-10-01,0.0,,,,0.010960155108391486,,,,THD,,,,|Archive,,,
1973-11-01,,,,,,,,,,,,,|,,,
1973-12-01,,,,,,,,,,,,,|,,,
1974-01-01,,,,,,,,,,,,,|,,,
1974-02-01,,,,,,,,,,,,,|,,,
1974-03-01,,,,,,,,,,,,,|,,,
1974-04-01,,,,,,,,,,,,,|,,,
1974-05-01,,,,,,,,,,,,,|,,,
1974-06-01,0.0,,,,0.010960155108391486,,,,THD,,,,|Archive,,,
1974-07-01,,,,,,,,,,,,,|,,,
1974-08-01,,,,,,,,,,,,,|,,,
1974-09-01,,,,,,,,,,,,,|,,,
1974-10-01,,,,,,,,,,,,,|,,,
1974-11-01,,,,,,,,,,,,,|,,,
1974-12-01,,,,,,,,,,,,,|,,,
1975-01-01,,,,,,,,,,,,,|,,,
1975-02-01,,,,,,,,,,,,,|,,,
1975-03-01,,,,,,,,,,,,,|,,,
1975-04-01,,,,,,,,,,,,,|,,,
1975-05-01,,,,,,,,,,,,,|,,,
1975-06-01,,,,,,,,,,,,,|,,,
1975-07-01,,,,,,,,,,,,,|,,,
1975-08-01,,,,,,,,,,,,,|,,,
1975-09-01,,,,,,,,,,,,,|,,,
1975-10-01,0.0,,,,0.010960155108391486,,,,THD,,,,|Archive,,,
1975-11-01,,,,,,,,,,,,,|,,,
1975-12-01,,,,,,,,,,,,,|,,,
1976-01-01,,,,,,,,,,,,,|,,,
1976-02-01,,,,,,,,,,,,,|,,,
1976-03-01,,,,,,,,,,,,,|,,,
1976-04-01,,,,,,,,,,,,,|,,,
1976-05-01,,,,,,,,,,,,,|,,,
1976-06-01,,,,,,,,,,,,,|,,,
1976-07-01,,,,,,,,,,,,,|,,,
1976-08-01,,,,,,,,,,,,,|,,,
1976-09-01,,,,,,,,,,,,,|,,,
