# Global annual emissions for HFC-227ea 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.766093+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,0.07863287303189281,0.4847541130623317
1974,6,1974.46,0.05246058755960803,0.38763773745877383
1975,6,1975.46,0.030673562828951617,0.3754714834454296
1976,6,1976.46,0.017054268285392027,0.4735147661142151
1977,6,1977.46,0.034136751675760024,0.3660312651345729
1978,6,1978.46,0.08084870278230483,0.4000194591678283
1979,6,1979.46,0.12667045381385833,0.44064963870153334
1980,6,1980.46,0.1164044782099154,0.46964723958646776
1981,6,1981.46,0.0711882216317008,0.41568175948473113
1982,6,1982.46,0.06392544700975122,0.4481167443205864
1983,6,1983.46,0.07723268243762504,0.5280656676202448
1984,6,1984.46,0.05872585592692303,0.4215874681725313
1985,6,1985.46,0.05439173648096585,0.40222549091574455
1986,6,1986.46,0.08690509569396454,0.41043906731592494
1987,6,1987.46,0.17027192897353416,0.38893378784423244
1988,6,1988.46,0.18069240395425368,0.4185912125510843
1989,6,1989.46,0.12197520827635344,0.38227704695942877
1990,6,1990.46,0.0016481715363170224,0.4213852871994048
1991,6,1991.46,-0.13229233602392282,0.36590404768933726
1992,6,1992.46,-0.07324323175835429,0.3438076073240001
1993,6,1993.46,0.1587517700972021,0.3519695734313257
1994,6,1994.46,0.10910771729371889,0.34105321602481087
1995,6,1995.46,0.15209768251120437,0.3094173779351291
1996,6,1996.46,0.4648069358775399,0.35016731978610777
1997,6,1997.46,0.3323954232254378,0.32532151727012165
1998,6,1998.46,0.48450093604722966,0.3327439927898049
1999,6,1999.46,0.4147760513531873,0.32931422675826555
2000,6,2000.46,0.9311625160219988,0.3468289647956258
2001,6,2001.46,0.6642164091643977,0.3565630535011389
2002,6,2002.46,1.1058952767236523,0.36205111302625875
2003,6,2003.46,1.2958134532046939,0.39872713799620974
2004,6,2004.46,1.6182822899334213,0.3783708271888834
2005,6,2005.46,1.8119053227267077,0.37709951270789005
2006,6,2006.46,2.1618659227416783,0.3756422939526744
2007,6,2007.46,2.2057133795537593,0.2816241649931019
2008,6,2008.46,2.5545315870669363,0.30666143976348015
2009,6,2009.46,2.739597070453204,0.326341778367987
2010,6,2010.46,2.9357539167593423,0.34122675168465305
2011,6,2011.46,3.039782226191637,0.35602711061608516
2012,6,2012.46,3.36252102039585,0.3903600058816354
2013,6,2013.46,3.670448438271667,0.4000042717433045
2014,6,2014.46,3.79679416887608,0.44583471205695824
2015,6,2015.46,4.031098166007969,0.4600062265330373
2016,6,2016.46,4.511265504545397,0.5151854846124366
2017,6,2017.46,4.861002104245861,0.5351217277063827
2018,6,2018.46,5.213816670221168,0.5760718304834211
2019,6,2019.46,5.754737231234988,0.6501189569858774
2020,6,2020.46,6.497939467939961,0.6938436885027054
2021,6,2021.46,7.070993699146971,0.73777406207194
2022,6,2022.46,7.307907977243178,0.786346150153238
2023,6,2023.46,7.475556313109908,0.8667502009081645
2024,6,2024.46,7.498531852640315,1.0897478800821272
