# Global annual emissions with no systematic uncertainty for HFC-227ea 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.772081+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1973,6,1973.46,0.07863287303189281,0.46891331408828446
1974,6,1974.46,0.05246058755960803,0.3968561848643088
1975,6,1975.46,0.030673562828951617,0.3668206171615003
1976,6,1976.46,0.017054268285392027,0.44869358803809906
1977,6,1977.46,0.034136751675760024,0.35791228646353496
1978,6,1978.46,0.08084870278230483,0.38368191934633394
1979,6,1979.46,0.12667045381385833,0.44971253993035776
1980,6,1980.46,0.1164044782099154,0.47884726323045984
1981,6,1981.46,0.0711882216317008,0.40416294455277163
1982,6,1982.46,0.06392544700975122,0.4529040434392477
1983,6,1983.46,0.07723268243762504,0.5125303720065644
1984,6,1984.46,0.05872585592692303,0.4192984826797773
1985,6,1985.46,0.05439173648096585,0.36787425185507344
1986,6,1986.46,0.08690509569396454,0.4078961176606315
1987,6,1987.46,0.17027192897353416,0.4173502095598479
1988,6,1988.46,0.18069240395425368,0.4427651129424647
1989,6,1989.46,0.12197520827635344,0.40289858751030644
1990,6,1990.46,0.0016481715363170224,0.4397347727596067
1991,6,1991.46,-0.13229233602392282,0.37387134489298196
1992,6,1992.46,-0.07324323175835429,0.36154574851284166
1993,6,1993.46,0.1587517700972021,0.3460497004477362
1994,6,1994.46,0.10910771729371889,0.33679679291335407
1995,6,1995.46,0.15209768251120437,0.32112090072946003
1996,6,1996.46,0.4648069358775399,0.33091998836764674
1997,6,1997.46,0.3323954232254378,0.31030534064529824
1998,6,1998.46,0.48450093604722966,0.32843212866864546
1999,6,1999.46,0.4147760513531873,0.3401241296631983
2000,6,2000.46,0.9311625160219988,0.346751380188057
2001,6,2001.46,0.6642164091643977,0.358737494422921
2002,6,2002.46,1.1058952767236523,0.3509753577810976
2003,6,2003.46,1.2958134532046939,0.37755963015425226
2004,6,2004.46,1.6182822899334213,0.3543503801494478
2005,6,2005.46,1.8119053227267077,0.3489964674667874
2006,6,2006.46,2.1618659227416783,0.32054959865247157
2007,6,2007.46,2.2057133795537593,0.20166199998604353
2008,6,2008.46,2.5545315870669363,0.187696883433321
2009,6,2009.46,2.739597070453204,0.20509775616811568
2010,6,2010.46,2.9357539167593423,0.2217018288307443
2011,6,2011.46,3.039782226191637,0.22770230809401434
2012,6,2012.46,3.36252102039585,0.23760111979871945
2013,6,2013.46,3.670448438271667,0.24839251922704392
2014,6,2014.46,3.79679416887608,0.2608681403879134
2015,6,2015.46,4.031098166007969,0.27494091880047405
2016,6,2016.46,4.511265504545397,0.2800785048499805
2017,6,2017.46,4.861002104245861,0.2871704877460967
2018,6,2018.46,5.213816670221168,0.2986450845686599
2019,6,2019.46,5.754737231234988,0.3130102854075073
2020,6,2020.46,6.497939467939961,0.32646692515311926
2021,6,2021.46,7.070993699146971,0.3500858187808873
2022,6,2022.46,7.307907977243178,0.353660149003736
2023,6,2023.46,7.475556313109908,0.45748830355792686
2024,6,2024.46,7.498531852640315,0.7787325788846444
