# Global annual mole fraction for HFC-227ea 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.714591+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1973,6,1973.46,0.005184523649514709,0.03331847706935284
1974,6,1974.46,0.006931255416052484,0.029238266824120066
1975,6,1975.46,0.007617236537021996,0.025822151646568127
1976,6,1976.46,0.007663794634888072,0.022025216142470737
1977,6,1977.46,0.007916417025170562,0.020190126501136333
1978,6,1978.46,0.009420561345206807,0.02027843673447372
1979,6,1979.46,0.013033909352622783,0.022599486096383976
1980,6,1980.46,0.017086404080264624,0.02285530795362994
1981,6,1981.46,0.0192157176289623,0.025970873797224705
1982,6,1982.46,0.020180740019050725,0.021424146680266425
1983,6,1983.46,0.022052864621458192,0.017625814833324798
1984,6,1984.46,0.02358431127664658,0.02131473711871511
1985,6,1985.46,0.02457686136005768,0.019022144276115864
1986,6,1986.46,0.026064519743834266,0.012887780541212514
1987,6,1987.46,0.02978212811069143,0.016863520310804212
1988,6,1988.46,0.035282608367647995,0.021890405341900544
1989,6,1989.46,0.03930393597136155,0.023614153468748126
1990,6,1990.46,0.03951695742514274,0.019927633415892883
1991,6,1991.46,0.03464397913935383,0.017269967664376856
1992,6,1992.46,0.02847107184085051,0.017458769704022783
1993,6,1993.46,0.029690439294020456,0.017268560443580033
1994,6,1994.46,0.0343013797402532,0.016294394574814144
1995,6,1995.46,0.036178295774682144,0.015683055685646038
1996,6,1996.46,0.0485961228998902,0.014124138242247257
1997,6,1997.46,0.06383213711293548,0.01492090433156822
1998,6,1998.46,0.07962789377448805,0.01298235709210545
1999,6,1999.46,0.09286197450966172,0.014719409326777958
2000,6,2000.46,0.11239305171356086,0.01600912429975505
2001,6,2001.46,0.13855604218169096,0.01892353628978774
2002,6,2002.46,0.16726207344184027,0.02072841611185944
2003,6,2003.46,0.20582305959759908,0.02092569644024717
2004,6,2004.46,0.25026918399300335,0.02465449726798325
2005,6,2005.46,0.30284290771142497,0.026961334389057207
2006,6,2006.46,0.3633623706401566,0.029817362454905582
2007,6,2007.46,0.4293009187591596,0.03433028192806829
2008,6,2008.46,0.4979529024427005,0.03978981213907902
2009,6,2009.46,0.5745972642284257,0.04574193755036567
2010,6,2010.46,0.6551246724887733,0.05209685744972084
2011,6,2011.46,0.7367045539518333,0.05856396300647358
2012,6,2012.46,0.8229914390824707,0.06564699943196525
2013,6,2013.46,0.9214626541728378,0.07336890915914386
2014,6,2014.46,1.021961523912234,0.08134510206978723
2015,6,2015.46,1.1239120153515598,0.08972822800992312
2016,6,2016.46,1.2386852484148156,0.09896319382871105
2017,6,2017.46,1.3642108090643654,0.10913616175022042
2018,6,2018.46,1.4964826674615417,0.11933559685976045
2019,6,2019.46,1.640758968050239,0.1307793822228644
2020,6,2020.46,1.8043321295383625,0.1436032142752612
2021,6,2021.46,1.9875693879408491,0.15858964995639452
2022,6,2022.46,2.1766245482424504,0.1737539033505236
2023,6,2023.46,2.3645907538602393,0.1889554569006731
2024,6,2024.46,2.548759558130353,0.20523966023424234
