# Global annual mole fraction Jan for HFC-227ea 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.722368+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction_Jan,Global_annual_mole_fraction_Jan_1-sigma
1973,12,1973.96,0.00617822356393933,0.030158009377101957
1974,12,1974.96,0.00735306054151203,0.027342726832696465
1975,12,1975.96,0.007697440228866279,0.022684895492261582
1976,12,1976.96,0.0077066334024923425,0.021090509033606118
1977,12,1977.96,0.008503110584396636,0.019289726925815327
1978,12,1978.96,0.011139837579899984,0.02105724107231098
1979,12,1979.96,0.015245161641128857,0.022614168915484054
1980,12,1980.96,0.018404071486162066,0.024764858481768806
1981,12,1981.96,0.019731845533814064,0.0247116854373079
1982,12,1982.96,0.02113431880611417,0.018609481819783377
1983,12,1983.96,0.022984606805528985,0.019229409923059177
1984,12,1984.96,0.024152773796628498,0.02128163698612798
1985,12,1985.96,0.025224119951183555,0.015064548585453174
1986,12,1986.96,0.027627508754541754,0.014239646164102577
1987,12,1987.96,0.032691154836058244,0.01928640011544713
1988,12,1988.96,0.037723529028298904,0.023448329654139233
1989,12,1989.96,0.040055794525921166,0.02194782678667093
1990,12,1990.96,0.03768911612184498,0.01771751669604856
1991,12,1991.96,0.030976638008932977,0.017468090676510638
1992,12,1992.96,0.02796042895917264,0.017569096831551504
1993,12,1993.96,0.03238473278817129,0.01664992342181189
1994,12,1994.96,0.03478709892526243,0.01598565594701756
1995,12,1995.96,0.04122095008207736,0.014804600600244659
1996,12,1996.96,0.05752045273681766,0.014935358185508072
1997,12,1997.96,0.07137859935102657,0.013454887409867744
1998,12,1998.96,0.08681160223380159,0.014015828567756444
1999,12,1999.96,0.09992033416047154,0.015703024570323118
2000,12,2000.96,0.12734511670348692,0.01772272214038465
2001,12,2001.96,0.15097268936056468,0.020148139418655595
2002,12,2002.96,0.186117978811958,0.020803308814945343
2003,12,2003.96,0.22636098475805397,0.022813095107383507
2004,12,2004.96,0.27565430878022096,0.02593299816466184
2005,12,2005.96,0.33155036149730427,0.028357090687738153
2006,12,2006.96,0.39666835666569283,0.0318798024127364
2007,12,2007.96,0.46221346340668973,0.0369215930279303
2008,12,2008.96,0.5358549494998738,0.04272911137836791
2009,12,2009.96,0.6145511621844896,0.04880266715945853
2010,12,2010.96,0.6959089703650182,0.05537212220148003
2011,12,2011.96,0.7785918174799461,0.0618851139018541
2012,12,2012.96,0.8716712434641848,0.06959838873158856
2013,12,2013.96,0.9716185122866129,0.07722626635489413
2014,12,2014.96,1.072301280455813,0.08558718953739132
2015,12,2015.96,1.1797153641673894,0.0942498159137594
2016,12,2016.96,1.3005991351027313,0.103944013003802
2017,12,2017.96,1.4294963189981844,0.1141632282155552
2018,12,2018.96,1.56683656602182,0.12482698948589116
2019,12,2019.96,1.7199739731143666,0.1371177558951275
2020,12,2020.96,1.8947432155493413,0.15091560979742105
2021,12,2021.96,2.082386763038119,0.16617192561790867
2022,12,2022.96,2.270921375026725,0.18145154850592826
2023,12,2023.96,2.4576305921856014,0.19681992470815277
