# Global mole fraction growth rate for HFC-227ea 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.729225+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_mole_fraction_growth_rate,Global_mole_fraction_growth_rate_1-sigma
1973,1,1973.04,0.0024558331171799313,0.01723215618616392
1973,2,1973.12,0.002404164558437316,0.017151013432591043
1973,3,1973.21,0.0024737972883490875,0.01709127237713656
1973,4,1973.29,0.002566839684154019,0.017018466772727867
1973,5,1973.37,0.00260506110128354,0.016867563210359312
1973,6,1973.46,0.0025713780047609447,0.016613314337231688
1973,7,1973.54,0.0024940625166729124,0.01628245149938602
1973,8,1973.62,0.002396161114851901,0.015889871329810068
1973,9,1973.71,0.0022655257613766184,0.015422256553479426
1973,10,1973.79,0.0020624339823179815,0.014827763565795026
1973,11,1973.87,0.0017801829279048454,0.014088992180547407
1973,12,1973.96,0.0014767387585249167,0.013296585117291329
1974,1,1974.04,0.0012643471688969824,0.012603904354290504
1974,2,1974.12,0.0012073624001004116,0.01212276186890965
1974,3,1974.21,0.0012790025864763636,0.011918696831102539
1974,4,1974.29,0.0013800888805080623,0.011976492718735226
1974,5,1974.37,0.0014307927542703913,0.012184873215027819
1974,6,1974.46,0.001411972635642466,0.012437201818914351
1974,7,1974.54,0.001349260381735316,0.012676193609248196
1974,8,1974.62,0.0012645305636848731,0.012867727246608661
1974,9,1974.71,0.001146449951184043,0.01298026162062147
1974,10,1974.79,0.0009576338745341133,0.012938517200082461
1974,11,1974.87,0.0006932200295259043,0.012694484253768418
1974,12,1974.96,0.00041212983484902293,0.012320323869613077
1975,1,1975.04,0.00022714806648644584,0.01196449789717522
1975,2,1975.12,0.00020276128679449273,0.011735884621713703
1975,3,1975.21,0.00031214552158236915,0.011701818685060603
1975,4,1975.29,0.00045601616173684473,0.011870244235170819
1975,5,1975.37,0.000553344718453066,0.012190152581918513
1975,6,1975.46,0.0005821524274155659,0.012628155805684403
1975,7,1975.54,0.0005637313845736476,0.01317929798273158
1975,8,1975.62,0.0005173932249719263,0.013800966465640779
1975,9,1975.71,0.0004318573376527373,0.014412034366681143
1975,10,1975.79,0.0002716749150126869,0.014893282666168512
1975,11,1975.87,3.418115701821367e-05,0.015171610546375421
1975,12,1975.96,-0.00021961561196570767,0.01527870608474072
1976,1,1976.04,-0.0003746183062573821,0.015294896822217359
1976,2,1976.12,-0.00036395205332239887,0.015265998118771162
1976,3,1976.21,-0.00021180516710868404,0.01521469747432743
1976,4,1976.29,-1.4449294552847875e-05,0.015130289170083445
1976,5,1976.37,0.00014837093063260602,0.014975378173428094
1976,6,1976.46,0.0002533382116640035,0.014742064702702194
1976,7,1976.54,0.0003181455608971406,0.01445852480023669
1976,8,1976.62,0.00035922400823652214,0.01413773133423353
1976,9,1976.71,0.0003638249085748196,0.013774129626762029
1976,10,1976.79,0.00029577229416518887,0.013321885077286742
1976,11,1976.87,0.00015174007893230588,0.012754931103340398
1976,12,1976.96,-8.010331850534432e-06,0.012141380958853684
1977,1,1977.04,-6.909502194678173e-05,0.011607449185824239
1977,2,1977.12,3.492218032929543e-05,0.011232742471452698
1977,3,1977.21,0.0002802110956168769,0.011055236297227801
1977,4,1977.29,0.000571761217820135,0.011070175305134137
1977,5,1977.37,0.000829920936902495,0.011237132903041628
1977,6,1977.46,0.0010297497846309866,0.011532579029401887
1977,7,1977.54,0.001186071539481165,0.011941859035799125
1977,8,1977.62,0.00131359559599826,0.012404319336313814
1977,9,1977.71,0.0013995590180325252,0.012823065852796066
1977,10,1977.79,0.0014089356540988615,0.01305753855465419
1977,11,1977.87,0.0013403805659399474,0.013010271955789292
1977,12,1977.96,0.0012563842018275498,0.012715705494487346
1978,1,1978.04,0.0012736870145924773,0.012322288563154444
1978,2,1978.12,0.0014607631231717587,0.01198910080316883
1978,3,1978.21,0.0017953806103301769,0.011848544726378868
1978,4,1978.29,0.0021837726352212155,0.011962871990766481
1978,5,1978.37,0.0025447257432072174,0.012302305910016497
1978,6,1978.46,0.002848563122096248,0.012794221077705753
1978,7,1978.54,0.0031028857915717093,0.013331125780320047
1978,8,1978.62,0.0033149020220981547,0.013790209644167734
1978,9,1978.71,0.0034651424673625255,0.014086136741943938
1978,10,1978.79,0.00351237990908563,0.014173482453783973
1978,11,1978.87,0.003451380037874287,0.014068130111742946
1978,12,1978.96,0.0033431714520298743,0.013857076376356168
1979,1,1979.04,0.0033049232635037748,0.013640390641344447
1979,2,1979.12,0.003408039065777373,0.013471642486818999
1979,3,1979.21,0.0036353697299994375,0.013385522133288714
1979,4,1979.29,0.0038999962023798978,0.013394527562838881
1979,5,1979.37,0.0041262316961010355,0.013463545722509879
1979,6,1979.46,0.00428781873419701,0.013542819747689866
1979,7,1979.54,0.004394352399895905,0.013573246002605593
