# Semihemispheric annual emissions for HFC-227ea 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.778319+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_box0,Semihemispheric_annual_emissions_box1,Semihemispheric_annual_emissions_box2,Semihemispheric_annual_emissions_box3,Semihemispheric_annual_emissions_1-sigma_box0,Semihemispheric_annual_emissions_1-sigma_box1,Semihemispheric_annual_emissions_1-sigma_box2,Semihemispheric_annual_emissions_1-sigma_box3
1973,6,1973.46,-0.1808801748411497,0.04135746015344921,0.6007143416222789,-0.38255875390268557,0.8860362165099068,1.0557796034256735,0.39141383949947356,0.3689957379654753
1974,6,1974.46,-0.20625963519705692,0.040286269764692406,0.6007891498611571,-0.3823551968691845,0.858141455282242,1.0316651788892195,0.38651631594673735,0.3588450727101521
1975,6,1975.46,-0.22855175318454712,0.03998998800307163,0.6010462059616657,-0.3818108779512386,0.8487479096930564,1.0085429826458172,0.3831134617949546,0.346106162817798
1976,6,1976.46,-0.24478071967496362,0.04106891984702088,0.6015596376628309,-0.38079356954949617,0.8940932867165499,0.9955788034644314,0.37959423609638693,0.336572663363049
1977,6,1977.46,-0.23339670106815902,0.0443694761434017,0.6023845889353652,-0.37922061233484783,0.7877012320271218,0.9746622751376808,0.37298172698732146,0.3320792489149016
1978,6,1978.46,-0.1968350308279696,0.05117939108822611,0.6036427067579098,-0.37713836423586145,0.8191907355261657,0.9546694501164715,0.36992478213917823,0.3287806579297752
1979,6,1979.46,-0.16738473782606889,0.05869271893243422,0.6064269737275936,-0.3710645010201006,0.7988674501808047,0.9389170491427861,0.3659121756552946,0.32874763805187807
1980,6,1980.46,-0.18978662767676724,0.06256437523188652,0.6089593863921436,-0.3653326557373475,0.7904030855270041,0.9220422457809923,0.36131031338886016,0.32227234586888076
1981,6,1981.46,-0.24651276540589606,0.06577571469097165,0.6115090236312426,-0.3595837512846174,0.7745979473383227,0.9079626174995775,0.3551641742939258,0.31716303183439654
1982,6,1982.46,-0.2671072233470113,0.07115753797916113,0.613989604991275,-0.35411447261367357,0.8163595461963027,0.8886353682442371,0.34675668264488013,0.3116708749763601
1983,6,1983.46,-0.2639489393277472,0.07498279983155953,0.6159056440187669,-0.3497068220849542,0.84792758213665,0.8643947789353995,0.34382362827185714,0.30320833522163
1984,6,1984.46,-0.2871945084134495,0.07593561314570252,0.616988729588229,-0.347003978393559,0.7676024854225594,0.840686726691651,0.3384532362261778,0.29442596360080614
1985,6,1985.46,-0.29529163803999836,0.07759995183369028,0.6178319954979088,-0.34574857281063487,0.6937684496993595,0.823010426668255,0.33179387334825744,0.2903824446617922
