# Semihemispheric annual emissions with no systematic uncertainty for HFC-227ea 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.787373+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box3,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box3
1973,6,1973.46,-0.1808801748411497,0.04135746015344921,0.6007143416222789,-0.38255875390268557,0.8750520444404867,1.0271425330850181,0.40395634972101657,0.3898123888072104
1974,6,1974.46,-0.20625963519705692,0.040286269764692406,0.6007891498611571,-0.3823551968691845,0.8559966473904563,1.0091781915899236,0.3958920601035235,0.38010255321077496
1975,6,1975.46,-0.22855175318454712,0.03998998800307163,0.6010462059616657,-0.3818108779512386,0.8449817700784951,0.9904357955854921,0.39184671175332636,0.3690849807660558
1976,6,1976.46,-0.24478071967496362,0.04106891984702088,0.6015596376628309,-0.38079356954949617,0.8439068300719895,0.9856598745803876,0.3859767572193718,0.35836113603080816
1977,6,1977.46,-0.23339670106815902,0.0443694761434017,0.6023845889353652,-0.37922061233484783,0.7774134704327508,0.9739717774857197,0.37909854897314477,0.35020590485748376
1978,6,1978.46,-0.1968350308279696,0.05117939108822611,0.6036427067579098,-0.37713836423586145,0.8076565921064669,0.955863096214513,0.3724617281677269,0.3429372773149807
1979,6,1979.46,-0.16738473782606889,0.05869271893243422,0.6064269737275936,-0.3710645010201006,0.8013130166852391,0.9449766451678497,0.36310047003663487,0.33679618967824315
1980,6,1980.46,-0.18978662767676724,0.06256437523188652,0.6089593863921436,-0.3653326557373475,0.8095061225528315,0.923984046678046,0.36127410390721826,0.327312285845552
1981,6,1981.46,-0.24651276540589606,0.06577571469097165,0.6115090236312426,-0.3595837512846174,0.7801863069965725,0.9266003885883902,0.35367323928164063,0.3214703145758136
1982,6,1982.46,-0.2671072233470113,0.07115753797916113,0.613989604991275,-0.35411447261367357,0.8001410417057861,0.9048432658676987,0.34930164330190516,0.31750653960448083
