# Semihemispheric mole fractions for HFC-227ea 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:20.663876+00:00 
# Units: ppt 
Year,Month,Decimal_date,Semihemispheric_mole_fractions_box0,Semihemispheric_mole_fractions_box1,Semihemispheric_mole_fractions_box2,Semihemispheric_mole_fractions_box3,Semihemispheric_mole_fractions_1-sigma_box0,Semihemispheric_mole_fractions_1-sigma_box1,Semihemispheric_mole_fractions_1-sigma_box2,Semihemispheric_mole_fractions_1-sigma_box3
1973,1,1973.0,,,,,,,,
1973,2,1973.08,,,,,,,,
1973,3,1973.17,,,,,,,,
1973,4,1973.25,,,,,,,,
1973,5,1973.33,,,,,,,,
1973,6,1973.42,0.0,,,,0.010960155108391486,,,
1973,7,1973.5,,,,,,,,
1973,8,1973.58,,,,,,,,
1973,9,1973.67,,,,,,,,
1973,10,1973.75,0.0,,,,0.010960155108391486,,,
1973,11,1973.83,,,,,,,,
1973,12,1973.92,,,,,,,,
1974,1,1974.0,,,,,,,,
1974,2,1974.08,,,,,,,,
1974,3,1974.17,,,,,,,,
1974,4,1974.25,,,,,,,,
1974,5,1974.33,,,,,,,,
1974,6,1974.42,0.0,,,,0.010960155108391486,,,
1974,7,1974.5,,,,,,,,
1974,8,1974.58,,,,,,,,
1974,9,1974.67,,,,,,,,
1974,10,1974.75,,,,,,,,
1974,11,1974.83,,,,,,,,
1974,12,1974.92,,,,,,,,
1975,1,1975.0,,,,,,,,
1975,2,1975.08,,,,,,,,
1975,3,1975.17,,,,,,,,
1975,4,1975.25,,,,,,,,
1975,5,1975.33,,,,,,,,
1975,6,1975.42,,,,,,,,
1975,7,1975.5,,,,,,,,
1975,8,1975.58,,,,,,,,
1975,9,1975.67,,,,,,,,
1975,10,1975.75,0.0,,,,0.010960155108391486,,,
1975,11,1975.83,,,,,,,,
1975,12,1975.92,,,,,,,,
1976,1,1976.0,,,,,,,,
1976,2,1976.08,,,,,,,,
1976,3,1976.17,,,,,,,,
1976,4,1976.25,,,,,,,,
1976,5,1976.33,,,,,,,,
1976,6,1976.42,,,,,,,,
1976,7,1976.5,,,,,,,,
1976,8,1976.58,,,,,,,,
1976,9,1976.67,,,,,,,,
1976,10,1976.75,,,,,,,,
1976,11,1976.83,,,,,,,,
1976,12,1976.92,,,,,,,,
1977,1,1977.0,,,,,,,,
1977,2,1977.08,,,,,,,,
1977,3,1977.17,,,,,,,,
1977,4,1977.25,,,,,,,,
1977,5,1977.33,,,,,,,,
1977,6,1977.42,,,,,,,,
1977,7,1977.5,,,,,,,,
1977,8,1977.58,,,,,,,,
1977,9,1977.67,,,,,,,,
1977,10,1977.75,0.0,,,,0.010960155108391486,,,
1977,11,1977.83,,,,,,,,
1977,12,1977.92,,,,,,,,
1978,1,1978.0,,,,,,,,
1978,2,1978.08,,,,,,,,
1978,3,1978.17,,,,,,,,
1978,4,1978.25,,,,0.0067,,,,0.008494798643876145
1978,5,1978.33,,,,,,,,
1978,6,1978.42,,,,,,,,
1978,7,1978.5,,,,0.0,,,,0.010960155108391486
1978,8,1978.58,0.0,,,,0.010960155108391486,,,
1978,9,1978.67,,,,,,,,
1978,10,1978.75,,,,,,,,
1978,11,1978.83,,,,,,,,
1978,12,1978.92,,,,,,,,
1979,1,1979.0,,,,,,,,
1979,2,1979.08,,,,,,,,
1979,3,1979.17,,,,,,,,
1979,4,1979.25,,,,,,,,
1979,5,1979.33,,,,,,,,
1979,6,1979.42,,,,,,,,
1979,7,1979.5,,,,,,,,
1979,8,1979.58,,,,,,,,
1979,9,1979.67,,,,,,,,
1979,10,1979.75,,,,,,,,
1979,11,1979.83,,,,,,,,
1979,12,1979.92,,,,,,,,
1980,1,1980.0,,,,,,,,
1980,2,1980.08,,,,,,,,
1980,3,1980.17,,,,,,,,
1980,4,1980.25,,,,,,,,
1980,5,1980.33,0.0041333333333333335,,,,0.012211895548557923,,,
1980,6,1980.42,,,,,,,,
1980,7,1980.5,,,,,,,,
1980,8,1980.58,,,,,,,,
1980,9,1980.67,,,,,,,,
1980,10,1980.75,,,,,,,,
1980,11,1980.83,,,,,,,,
1980,12,1980.92,,,,,,,,
1981,1,1981.0,,,,,,,,
1981,2,1981.08,,,,,,,,
1981,3,1981.17,,,,,,,,
1981,4,1981.25,,,,,,,,
1981,5,1981.33,,,,,,,,
1981,6,1981.42,,,,,,,,
1981,7,1981.5,,,,,,,,
1981,8,1981.58,,,,,,,,
1981,9,1981.67,,,,,,,,
1981,10,1981.75,,,,,,,,
1981,11,1981.83,,,,,,,,
1981,12,1981.92,,,,,,,,
1982,1,1982.0,,,,,,,,
1982,2,1982.08,,,,,,,,
1982,3,1982.17,0.0,,,,0.010960155108391486,,,
1982,4,1982.25,,,,,,,,
1982,5,1982.33,0.0,,,,0.010960155108391486,,,
1982,6,1982.42,,,,,,,,
1982,7,1982.5,,,,,,,,
1982,8,1982.58,,,,,,,,
1982,9,1982.67,,,,,,,,
1982,10,1982.75,,,,,,,,
1982,11,1982.83,,,,,,,,
1982,12,1982.92,,,,,,,,
1983,1,1983.0,,,,,,,,
1983,2,1983.08,,,,,,,,
1983,3,1983.17,,,,,,,,
1983,4,1983.25,,,,,,,,
1983,5,1983.33,,,,,,,,
1983,6,1983.42,,,,,,,,
1983,7,1983.5,,,,,,,,
1983,8,1983.58,,,,,,,,
1983,9,1983.67,,,,,,,,
1983,10,1983.75,,,,,,,,
1983,11,1983.83,,,,,,,,
1983,12,1983.92,,,,,,,,
1984,1,1984.0,,,,,,,,
1984,2,1984.08,,,,,,,,
1984,3,1984.17,,,,,,,,
1984,4,1984.25,,,,,,,,
1984,5,1984.33,,,,0.0213,,,,0.006629727294542363
1984,6,1984.42,,,,,,,,
1984,7,1984.5,,,,,,,,
1984,8,1984.58,,,,,,,,
1984,9,1984.67,,,,,,,,
1984,10,1984.75,,,,,,,,
1984,11,1984.83,,,,,,,,
1984,12,1984.92,,,,,,,,
1985,1,1985.0,,,,,,,,
1985,2,1985.08,,,,,,,,
1985,3,1985.17,,,,,,,,
1985,4,1985.25,,,,,,,,
1985,5,1985.33,,,,,,,,
1985,6,1985.42,,,,,,,,
1985,7,1985.5,,,,,,,,
1985,8,1985.58,,,,,,,,
1985,9,1985.67,,,,,,,,
1985,10,1985.75,,,,,,,,
1985,11,1985.83,,,,,,,,
1985,12,1985.92,,,,,,,,
