# EDGAR v4?,,,,
# UNITS: Gg/yr,,,,
year,box_0,box_1,box_2,box_3
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,0,0
1999,0,0,0,0
2000,0,0,0,0
2001,0.0027,0.0002,0,0
2002,0.1336,0.0101,0.001,0.0024
2003,1.0271,0.079,0.0083,0.0182
2004,1.5371,0.1195,0.0141,0.027
2005,1.9709,0.1546,0.0202,0.0345
2006,2.7189,0.2119,0.0258,0.0477
2007,3.2137,0.2541,0.031,0.0561
2008,3.7012,0.2927,0.0358,0.0646
2009,3.7012,0.2927,0.0358,0.0646
2010,3.7012,0.2927,0.0358,0.0646
2011,3.7012,0.2927,0.0358,0.0646
2012,3.7012,0.2927,0.0358,0.0646
2013,3.7012,0.2927,0.0358,0.0646
2014,3.7012,0.2927,0.0358,0.0646
2015,3.7012,0.2927,0.0358,0.0646
2016,3.7012,0.2927,0.0358,0.0646
2017,3.7012,0.2927,0.0358,0.0646
2018,3.7012,0.2927,0.0358,0.0646
2019,3.7012,0.2927,0.0358,0.0646
2020,3.7012,0.2927,0.0358,0.0646
2021,3.7012,0.2927,0.0358,0.0646
2022,3.7012,0.2927,0.0358,0.0646
2023,3.7012,0.2927,0.0358,0.0646
2024,3.7012,0.2927,0.0358,0.0646
2025,3.7012,0.2927,0.0358,0.0646
2026,3.7012,0.2927,0.0358,0.0646
2027,3.7012,0.2927,0.0358,0.0646
2028,3.7012,0.2927,0.0358,0.0646
