# Global annual emissions for HFC-245fa 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:21.421720+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
1973,6,1973.46,0.27060935150215926,0.29181819154342553
1974,6,1974.46,0.2404555883648669,0.29450666204791964
1975,6,1975.46,0.2264343672756013,0.27107296943964804
1976,6,1976.46,0.20907767520102993,0.2814994821545022
1977,6,1977.46,0.19605584014455246,0.25594020893693564
1978,6,1978.46,0.18158092987533792,0.296425912168337
1979,6,1979.46,0.13841964364380033,0.2924783127475504
1980,6,1980.46,0.12174517638408133,0.30006219749632
1981,6,1981.46,0.13029518233435056,0.2813809934040503
1982,6,1982.46,0.15512380255486846,0.2783233292458484
1983,6,1983.46,0.18844311254633794,0.31263244508420696
1984,6,1984.46,0.21486374172035028,0.2832791078214278
1985,6,1985.46,0.2069904378065388,0.2601881016742826
1986,6,1986.46,0.1917598230745341,0.26273047027786484
1987,6,1987.46,0.11754610028546608,0.2641115329795949
1988,6,1988.46,0.0763808244623192,0.2734126735820275
1989,6,1989.46,0.05376149894517823,0.2855830802180707
1990,6,1990.46,0.04909532167759778,0.2859827608760423
1991,6,1991.46,0.05322506155486906,0.28216830356852174
1992,6,1992.46,0.07044936567220361,0.28122540919972766
1993,6,1993.46,0.08782830377131745,0.2762344251441357
1994,6,1994.46,0.0972674976647312,0.27747238579856837
1995,6,1995.46,0.09957085109900277,0.26803346594569966
1996,6,1996.46,0.11676009989415093,0.2699896337445342
1997,6,1997.46,0.15498224746386313,0.2509476541436384
1998,6,1998.46,0.025482389703000763,0.2605084303009613
1999,6,1999.46,-0.10511911341762925,0.2513305881815583
2000,6,2000.46,-0.23496990820812869,0.2491303540879617
2001,6,2001.46,-0.21008389836279348,0.2478294818460555
2002,6,2002.46,0.31809036557698356,0.24450897856632667
2003,6,2003.46,2.1040044525346993,0.300329833590813
2004,6,2004.46,3.914230307184896,0.407775894386291
2005,6,2005.46,5.643654427103912,0.5443187574691613
2006,6,2006.46,6.9593117397674575,0.6796227487128517
2007,6,2007.46,7.25227576728781,0.7900888317897622
2008,6,2008.46,7.406151988868271,0.8718230454152922
2009,6,2009.46,7.329160658492225,0.9512849268306844
2010,6,2010.46,7.860526811008254,1.0804252632057438
2011,6,2011.46,8.593039605141454,1.1879070702701573
2012,6,2012.46,9.24857363901725,1.3242077666954069
2013,6,2013.46,9.746869296935428,1.4337130427952685
2014,6,2014.46,10.343079319218232,1.560109190586163
2015,6,2015.46,11.090345452152574,1.6777463679353168
2016,6,2016.46,11.939511898134993,1.8121225084932506
2017,6,2017.46,12.736044839489749,1.9833697644242052
2018,6,2018.46,13.356649824490729,2.1274535629653486
2019,6,2019.46,13.724666396332294,2.254486028222633
2020,6,2020.46,13.796474772286656,2.3683855426786375
2021,6,2021.46,13.731632848355131,2.450695605545363
2022,6,2022.46,13.616426659076565,2.542789070387244
2023,6,2023.46,13.538862589971272,2.6414417114138726
2024,6,2024.46,13.522040141797204,2.739228324016383
