# Global annual emissions with no systematic uncertainty for HFC-245fa 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:21.429327+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions_with_no_systematic_uncertainty,Global_annual_emissions_with_no_systematic_uncertainty_1-sigma
1973,6,1973.46,0.27060935150215926,0.28408355684371617
1974,6,1974.46,0.2404555883648669,0.294199947142127
1975,6,1975.46,0.2264343672756013,0.26791237111952654
1976,6,1976.46,0.20907767520102993,0.2819082545212133
1977,6,1977.46,0.19605584014455246,0.2544996927436646
1978,6,1978.46,0.18158092987533792,0.2793720448528246
1979,6,1979.46,0.13841964364380033,0.2882651392060907
1980,6,1980.46,0.12174517638408133,0.29654328612749753
1981,6,1981.46,0.13029518233435056,0.2682263238190786
1982,6,1982.46,0.15512380255486846,0.28763543956073645
1983,6,1983.46,0.18844311254633794,0.2818871237683914
1984,6,1984.46,0.21486374172035028,0.2824194904717839
1985,6,1985.46,0.2069904378065388,0.2655640689821024
1986,6,1986.46,0.1917598230745341,0.2556710299328753
1987,6,1987.46,0.11754610028546608,0.26720241161460045
1988,6,1988.46,0.0763808244623192,0.27439523174319996
1989,6,1989.46,0.05376149894517823,0.2757615944157707
1990,6,1990.46,0.04909532167759778,0.26809344478388075
1991,6,1991.46,0.05322506155486906,0.2919548454881801
1992,6,1992.46,0.07044936567220361,0.27642342058658836
1993,6,1993.46,0.08782830377131745,0.2797904331557931
1994,6,1994.46,0.0972674976647312,0.2746239331731678
1995,6,1995.46,0.09957085109900277,0.2566782670421973
1996,6,1996.46,0.11676009989415093,0.2511458252794094
1997,6,1997.46,0.15498224746386313,0.237893450563915
1998,6,1998.46,0.025482389703000763,0.24689364760926003
1999,6,1999.46,-0.10511911341762925,0.2514869675060562
2000,6,2000.46,-0.23496990820812869,0.23657847452980946
2001,6,2001.46,-0.21008389836279348,0.2344240717762507
2002,6,2002.46,0.31809036557698356,0.24501398545483344
2003,6,2003.46,2.1040044525346993,0.24322973896062305
2004,6,2004.46,3.914230307184896,0.24701990343077176
2005,6,2005.46,5.643654427103912,0.23934310196851552
2006,6,2006.46,6.9593117397674575,0.23103403667655745
2007,6,2007.46,7.25227576728781,0.23740921245537377
2008,6,2008.46,7.406151988868271,0.22010476669076745
2009,6,2009.46,7.329160658492225,0.23033775498514666
2010,6,2010.46,7.860526811008254,0.2399787326624453
2011,6,2011.46,8.593039605141454,0.24533234156796468
2012,6,2012.46,9.24857363901725,0.25114537522303715
2013,6,2013.46,9.746869296935428,0.25089435089104994
2014,6,2014.46,10.343079319218232,0.2741738830748311
2015,6,2015.46,11.090345452152574,0.2606764112823103
2016,6,2016.46,11.939511898134993,0.27436348173667646
2017,6,2017.46,12.736044839489749,0.2921976482221138
2018,6,2018.46,13.356649824490729,0.28736773416385947
2019,6,2019.46,13.724666396332294,0.2811658001521285
2020,6,2020.46,13.796474772286656,0.30077422051542635
2021,6,2021.46,13.731632848355131,0.3160315405979418
2022,6,2022.46,13.616426659076565,0.375762130060365
2023,6,2023.46,13.538862589971272,0.4668081088865567
2024,6,2024.46,13.522040141797204,0.6215055644567514
