# Global annual mole fraction for HFC-245fa 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:21.257946+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction,Global_annual_mole_fraction_1-sigma
1973,6,1973.46,0.026288642595919284,0.029694826230960654
1974,6,1974.46,0.030945296479652676,0.026219127517946653
1975,6,1975.46,0.03418786972509092,0.023537030088471318
1976,6,1976.46,0.03645618116097735,0.021033014267916896
1977,6,1977.46,0.037794601297643594,0.01944216810801735
1978,6,1978.46,0.03853689989935092,0.0185413684708785
1979,6,1979.46,0.03763262431967396,0.02056078049961665
1980,6,1980.46,0.03560249625731705,0.021564991864181808
1981,6,1981.46,0.03402528344058043,0.022729260912727884
1982,6,1982.46,0.03354062347758946,0.021282613466319673
1983,6,1983.46,0.03465934734293069,0.020630935446091642
1984,6,1984.46,0.036961750038745925,0.020221924857831867
1985,6,1985.46,0.03918720492119788,0.019041303851294558
1986,6,1986.46,0.04069740888341156,0.017975648654887467
1987,6,1987.46,0.039392766893905314,0.017989697112313317
1988,6,1988.46,0.03584336463400253,0.016614222881083402
1989,6,1989.46,0.0313503492435453,0.017613746024786457
1990,6,1990.46,0.027202822569192143,0.01909467654387893
1991,6,1991.46,0.023664846373086617,0.020037076114912317
1992,6,1992.46,0.02119605201489069,0.02089508082218283
1993,6,1993.46,0.01989980117998141,0.02075292432890567
1994,6,1994.46,0.01931213351431938,0.01995661855720371
1995,6,1995.46,0.018935247476756092,0.01811009522855008
1996,6,1996.46,0.018814831366343803,0.01679879047714335
1997,6,1997.46,0.020112259271663768,0.016880384045111198
1998,6,1998.46,0.020236161652221623,0.01594704169669199
1999,6,1999.46,0.013449585941564897,0.01641240454233771
2000,6,2000.46,0.0014536370048752589,0.016430859988971036
2001,6,2001.46,-0.01287320515829613,0.016633961426376218
2002,6,2002.46,-0.011011392713946078,0.015085619756500832
2003,6,2003.46,0.047029042808589154,0.014572611928596607
2004,6,2004.46,0.17653623816836397,0.02051266419575556
2005,6,2005.46,0.36894746429220376,0.03255717595793154
2006,6,2006.46,0.6003239383032933,0.04913944939725859
2007,6,2007.46,0.8265987422704116,0.06645491537586488
2008,6,2008.46,1.0252078407255116,0.08222645255879134
2009,6,2009.46,1.1941999053876493,0.09583289737865246
2010,6,2010.46,1.3525029295940538,0.10874963763565075
2011,6,2011.46,1.52177639790297,0.12283733794157385
2012,6,2012.46,1.7007626652678454,0.13725485113730304
2013,6,2013.46,1.8810191687102726,0.15162042241657625
2014,6,2014.46,2.0604233122819493,0.16577869909732407
2015,6,2015.46,2.246551742976892,0.18058754717615552
2016,6,2016.46,2.444150941194593,0.1964929641253421
2017,6,2017.46,2.65222003947833,0.21276157641664023
2018,6,2018.46,2.8628559697492224,0.22998715403820857
2019,6,2019.46,3.0660314931347283,0.246370490237639
2020,6,2020.46,3.2496516025984072,0.2611731948128634
2021,6,2021.46,3.4075701010724013,0.2733749829416369
2022,6,2022.46,3.5403055389395077,0.28419309267594983
2023,6,2023.46,3.652189113587069,0.29330997159687716
2024,6,2024.46,3.7489586984980376,0.301752553373855
