# Global mole fraction growth rate for HFC-245fa 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:21.340990+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_mole_fraction_growth_rate,Global_mole_fraction_growth_rate_1-sigma
1973,1,1973.04,0.0058049906820167,0.012957020528492605
1973,2,1973.12,0.005858850671079006,0.012954344888820428
1973,3,1973.21,0.006060130132390998,0.013003606947163961
1973,4,1973.29,0.006348266876822193,0.013110532783194373
1973,5,1973.37,0.006636004799026137,0.013237196720590528
1973,6,1973.46,0.006802519600895627,0.013357447537391553
1973,7,1973.54,0.006687860926528587,0.013456549507608603
1973,8,1973.62,0.006229293444586274,0.013505544424839165
1973,9,1973.71,0.005509553219177783,0.013483530789318651
1973,10,1973.79,0.004741694706160218,0.013375176487272811
1973,11,1973.87,0.004113930259157786,0.013184658324579145
1973,12,1973.96,0.0037201622416454918,0.012955772410473737
1974,1,1974.04,0.003573012984592643,0.0127313129775766
1974,2,1974.12,0.003639706357717473,0.012533742793229432
1974,3,1974.21,0.003869931391768422,0.012401819148774331
1974,4,1974.29,0.004203818963822212,0.012359513206309049
1974,5,1974.37,0.004553995901541848,0.01237201112160514
1974,6,1974.46,0.004798401832621194,0.012399134451273702
1974,7,1974.54,0.00477455187421327,0.01241227361769958
1974,8,1974.62,0.004416499239959401,0.012386748417715957
1974,9,1974.71,0.003802791751436269,0.01232302000162968
1974,10,1974.79,0.0031410485999475665,0.012225286860847237
1974,11,1974.87,0.0026144130076762133,0.012097167925829745
1974,12,1974.96,0.0023134064597119934,0.011966294529401848
1975,1,1975.04,0.0022488360553230106,0.011852659503181907
1975,2,1975.12,0.002386667781888215,0.011755984195694196
1975,3,1975.21,0.0026759905641584396,0.01169540164843814
1975,4,1975.29,0.0030573702372181924,0.011680577893803166
1975,5,1975.37,0.00344482276466839,0.011685772958195497
1975,6,1975.46,0.0037185171161704215,0.011700407832224041
1975,7,1975.54,0.0037189851819478814,0.011728328077185185
1975,8,1975.62,0.0033827090501264982,0.011755420425922673
1975,9,1975.71,0.0027888593472470504,0.011774953113211835
1975,10,1975.79,0.002143951997466044,0.011779212701267871
1975,11,1975.87,0.0016299784897451173,0.011757776239065069
1975,12,1975.96,0.001337067466373025,0.011722366469281726
1976,1,1976.04,0.0012761020331156889,0.011684510374323564
1976,2,1976.12,0.001413116747306246,0.01164465728119727
1976,3,1976.21,0.0016974174358188024,0.011623203262953056
1976,4,1976.29,0.0020701661804251987,0.011624896700102829
1976,5,1976.37,0.002447002051059309,0.011621644227586367
1976,6,1976.46,0.002710902693995203,0.011608129224489769
1976,7,1976.54,0.002706176355152626,0.011599685735699822
1976,8,1976.62,0.0023723044099945604,0.011588836783833042
1976,9,1976.71,0.001789624956356766,0.011555844648275982
1976,10,1976.79,0.00116421889156907,0.01145653032187683
1976,11,1976.87,0.0006769043453953659,0.01125796531014378
1976,12,1976.96,0.0004164180607445471,0.01099205426659882
1977,1,1977.04,0.00039192129900674215,0.010732132216863808
1977,2,1977.12,0.00056722807638444,0.01053614840014168
1977,3,1977.21,0.0008892953815680928,0.010449747109079371
1977,4,1977.29,0.001297055599301453,0.010472168278212013
1977,5,1977.37,0.00170499540974235,0.010562471939313074
1977,6,1977.46,0.0019961866616999982,0.010710718241655865
1977,7,1977.54,0.002015990174756363,0.010928254566158944
1977,8,1977.62,0.0017046467268562833,0.011186610269866016
1977,9,1977.71,0.0011420594397790343,0.011431272763066852
1977,10,1977.79,0.0005327956350845762,0.011583672861234351
1977,11,1977.87,5.560068622723285e-05,0.011599089626338096
1977,12,1977.96,-0.00020321177967032582,0.011519212634957796
1978,1,1978.04,-0.00023737742124037858,0.01143584301800438
1978,2,1978.12,-8.617073097480525e-05,0.011414981463944172
1978,3,1978.21,0.00019458760261456917,0.011495343679051688
1978,4,1978.29,0.0005414899768737207,0.011669003083181076
1978,5,1978.37,0.0008685371543749057,0.011886228471024158
1978,6,1978.46,0.0010607493257907632,0.012110086851233102
1978,7,1978.54,0.0009675424985407504,0.012308559299541963
1978,8,1978.62,0.0005341865009693296,0.012435716410118132
1978,9,1978.71,-0.00015389483856325913,0.012458872886578556
1978,10,1978.79,-0.0008859509293117746,0.012349218903905015
1978,11,1978.87,-0.0014773170025660527,0.012103785585740651
1978,12,1978.96,-0.0018360843442201806,0.011782867730383183
1979,1,1979.04,-0.0019504742463737374,0.011482568513051726
1979,2,1979.12,-0.0018557169251518862,0.011270434344374424
1979,3,1979.21,-0.0016057944843632513,0.011181784119715836
1979,4,1979.29,-0.0012641600972138733,0.011199272812585575
1979,5,1979.37,-0.0009172300954401165,0.011262934078958852
1979,6,1979.46,-0.0006808621529397832,0.011333206847919686
1979,7,1979.54,-0.0007074753982074645,0.01138585619185228
1979,8,1979.62,-0.0010540623069897406,0.011393371972598107
1979,9,1979.71,-0.0016382339809457448,0.011350396776553634
1979,10,1979.79,-0.0022533357848473273,0.011255708057229464
1979,11,1979.87,-0.0027187844066182995,0.011116867873244986
1979,12,1979.96,-0.0029452327600510367,0.010985016573538436
1980,1,1980.04,-0.002921902604123386,0.010932126573656754
1980,2,1980.12,-0.0026855560469243684,0.0109922836705945
1980,3,1980.21,-0.0022922631940383302,0.01116388029843243
1980,4,1980.29,-0.0018073986948861458,0.01139016621955395
1980,5,1980.37,-0.0013187583117864371,0.011587724454080114
1980,6,1980.46,-0.0009431351743915536,0.011719100511548963
1980,7,1980.54,-0.0008335695055302967,0.01178808170940629
1980,8,1980.62,-0.0010476376871963755,0.011794620801128416
1980,9,1980.71,-0.001504863880084597,0.011738765374547766
1980,10,1980.79,-0.002002138560274458,0.011604268171048374
1980,11,1980.87,-0.002361438760659969,0.011386707232352869
1980,12,1980.96,-0.002493925475627606,0.011137342938557199
1981,1,1981.04,-0.002387857637789399,0.010935692554030766
1981,2,1981.12,-0.0020791568162643725,0.010817890040509042
1981,3,1981.21,-0.001623049656067649,0.01077880673820766
1981,4,1981.29,-0.001083515434132151,0.01076674285833797
1981,5,1981.37,-0.0005465635062403633,0.0107235590894722
1981,6,1981.46,-0.00012645162521404454,0.010645636390305817
1981,7,1981.54,2.721886629015071e-05,0.010563143281689003
1981,8,1981.62,-0.00014061698875697268,0.010488266954777833
1981,9,1981.71,-0.0005491627132061442,0.01042813355058421
1981,10,1981.79,-0.0009969435438534687,0.010376707487854702
1981,11,1981.87,-0.0013069420530250648,0.01033579709972295
1981,12,1981.96,-0.001390093153417953,0.010351096318306248
1982,1,1982.04,-0.0012338637097216423,0.01046773523036996
1982,2,1982.12,-0.0008738812158766737,0.010670806215721099
1982,3,1982.21,-0.00036569844741905127,0.010923045295067909
1982,4,1982.29,0.0002260529865363896,0.011187076288086403
1982,5,1982.37,0.0008145934204702889,0.011433814037609995
1982,6,1982.46,0.0012852191913091272,0.011660244624058928
1982,7,1982.54,0.0014882761434036336,0.011858618871561701
1982,8,1982.62,0.00136743860152577,0.012008150415211553
1982,9,1982.71,0.001000395398973218,0.012114343761668018
1982,10,1982.79,0.0005840422208115699,0.012198357259560028
1982,11,1982.87,0.0002923879319048249,0.012271889726872631
1982,12,1982.96,0.00021366477512186507,0.012340907340084837
1983,1,1983.04,0.00036096104066703455,0.012385549904276762
1983,2,1983.12,0.0007000771997495508,0.012376538147239076
1983,3,1983.21,0.001177587215057236,0.012318809796626954
1983,4,1983.29,0.0017317489680194584,0.012238688547003426
