# Semihemispheric annual emissions for HFC-245fa 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:21.437630+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_box0,Semihemispheric_annual_emissions_box1,Semihemispheric_annual_emissions_box2,Semihemispheric_annual_emissions_box3,Semihemispheric_annual_emissions_1-sigma_box0,Semihemispheric_annual_emissions_1-sigma_box1,Semihemispheric_annual_emissions_1-sigma_box2,Semihemispheric_annual_emissions_1-sigma_box3
1973,6,1973.46,-0.7837007432225107,0.705266633817871,1.6170439732271689,-1.26800051232037,0.5450219620192882,0.7082542682731751,0.3834540150574233,0.3093057812484339
1974,6,1974.46,-0.8127651356109737,0.704212180535194,1.6170205594924596,-1.268012016051813,0.5512821936831895,0.7025188593393948,0.38060887977872593,0.30376813596211305
1975,6,1975.46,-0.8264004471737536,0.7037882646546905,1.6170244754514727,-1.2679779256568082,0.5520361570860158,0.691954347908983,0.3781689686105133,0.29864697706017124
1976,6,1976.46,-0.8433302287044739,0.7032137712168378,1.6170590622059535,-1.2678649295172875,0.569720862290548,0.6854885891848908,0.3747487268520008,0.29472283838012076
1977,6,1977.46,-0.8566617572270587,0.7031298215362085,1.6171762524600126,-1.26758847662461,0.5527496722564385,0.6762635905961807,0.3709766810388982,0.2925143395991776
1978,6,1978.46,-0.8717131598344707,0.7028160864301185,1.6174314813060278,-1.2669534780263376,0.5543917350568363,0.6717976061909116,0.3687934066595629,0.290626781528794
1979,6,1979.46,-0.9147038042542874,0.7016966173094943,1.6176191471167556,-1.266192316528162,0.5478290371944676,0.6633399621616598,0.36910015734550605,0.2887988680081752
1980,6,1980.46,-0.933087596272685,0.7023617186448519,1.6179551495453097,-1.2654840955333952,0.5575556921165702,0.6621281109981452,0.36568425310937674,0.2854927826499668
1981,6,1981.46,-0.9279769615195619,0.7043523602321216,1.6184309120947376,-1.2645111284729467,0.5364973832405122,0.6576011018194602,0.365740048334123,0.28293220252114043
1982,6,1982.46,-0.9079269246869046,0.7073854812704212,1.6189953980169776,-1.2633301520456257,0.5291319199837521,0.6458207417762164,0.36642200405428665,0.2826528817013353
1983,6,1983.46,-0.8795681452281627,0.7105957997359837,1.6195612218699011,-1.2621457638313842,0.5456924264638011,0.640155969295704,0.36511129744564685,0.2794360106344777
1984,6,1984.46,-0.8577399729504123,0.7134448929323298,1.620138753674098,-1.2609799319356654,0.5201500733721225,0.634514779781827,0.36383718299531753,0.2769902512002117
1985,6,1985.46,-0.8709817381699736,0.7161283272420746,1.620998010437205,-1.2591541617027673,0.51159253820001,0.6302290684879086,0.36362112124278784,0.2777908196166384
1986,6,1986.46,-0.8939144302931368,0.7191203559124233,1.622428548210479,-1.2558746507552314,0.498789137754114,0.6240911696401688,0.36338850156366714,0.27830180142096606
1987,6,1987.46,-0.9785124380079822,0.7225506955296055,1.6244866732003516,-1.2509788304365088,0.5045278950926282,0.6126824296592543,0.36090178769005876,0.2757439255434716
1988,6,1988.46,-1.0355295104981508,0.7287899681714975,1.6272669747247903,-1.2441466079358179,0.5160029148307363,0.5972356949592517,0.35829628372721356,0.2731186834932671
1989,6,1989.46,-1.0788356679088622,0.7374590828685541,1.6307086279626901,-1.2355705439772038,0.52794237016628,0.589752051725433,0.35680269092031697,0.27090610132698517
1990,6,1990.46,-1.1066199113395498,0.7473020878887837,1.6344729039516608,-1.2260597588232969,0.5155809784758999,0.5793317771842883,0.35500498112532647,0.2685297414720751
1991,6,1991.46,-1.1260487654744509,0.7576389700594177,1.6381980965857679,-1.2165632396158657,0.5148322194631175,0.5709036104991524,0.3519589982890642,0.2665713862696943
1992,6,1992.46,-1.1345102395318065,0.7691334779410681,1.6422085346707433,-1.2063824074078013,0.5229329997135781,0.5647969841442009,0.35028173295135867,0.2648509271260236
1993,6,1993.46,-1.1435984503110035,0.7807496396613942,1.646350310418427,-1.1956731959975002,0.5030119600738372,0.5495084780190364,0.34710220878445575,0.2636294654127372
1994,6,1994.46,-1.159843585229197,0.7917810164185539,1.6504076632857334,-1.185077596810359,0.4973281445963444,0.5369663139941349,0.34709741766488245,0.2631610375304133
1995,6,1995.46,-1.1819502509613073,0.8021771232463948,1.6542934063335508,-1.1749494275196355,0.47938804053546513,0.5255375426629947,0.34843788003381826,0.2609105955075822
1996,6,1996.46,-1.187881365792549,0.8132041407595807,1.6578327548001255,-1.1663954298730062,0.45620786093075116,0.5147415055496165,0.346486153605285,0.25542541196476537
1997,6,1997.46,-1.1772591258346665,0.8266506166226577,1.6621336186968847,-1.1565428620210128,0.4235659346976173,0.5075835912283173,0.34588955274006344,0.2518485826284759
1998,6,1998.46,-1.3363609043606175,0.8359585848139091,1.668029190668591,-1.1421444814188817,0.4612214356626273,0.49616014595666597,0.34403854748855944,0.25326440146134765
