# Semihemispheric annual emissions with no systematic uncertainty for HFC-245fa 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:39:21.486227+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box3,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box3
1973,6,1973.46,-0.7837007432225107,0.705266633817871,1.6170439732271689,-1.26800051232037,0.5352160495060291,0.7173465951639603,0.36565249283570433,0.2913657584742389
1974,6,1974.46,-0.8127651356109737,0.704212180535194,1.6170205594924596,-1.268012016051813,0.5708448003371858,0.7069509708142783,0.36729794441423536,0.28575163873051684
1975,6,1975.46,-0.8264004471737536,0.7037882646546905,1.6170244754514727,-1.2679779256568082,0.5565057101519642,0.6970286207742468,0.366908498290515,0.28290943372009614
1976,6,1976.46,-0.8433302287044739,0.7032137712168378,1.6170590622059535,-1.2678649295172875,0.5834880442761458,0.6947580119087997,0.36426020790694663,0.2765219086640878
1977,6,1977.46,-0.8566617572270587,0.7031298215362085,1.6171762524600126,-1.26758847662461,0.5672153757205923,0.6814474695115816,0.36102254968111824,0.27427598661951214
1978,6,1978.46,-0.8717131598344707,0.7028160864301185,1.6174314813060278,-1.2669534780263376,0.5438525401121953,0.6726868580639411,0.35917269595647056,0.2747578960945326
1979,6,1979.46,-0.9147038042542874,0.7016966173094943,1.6176191471167556,-1.266192316528162,0.5587158339569507,0.6617121118300067,0.3574680118759313,0.2724039218624628
1980,6,1980.46,-0.933087596272685,0.7023617186448519,1.6179551495453097,-1.2654840955333952,0.539641692484544,0.6532016141914179,0.3543649076076211,0.27097941285252214
1981,6,1981.46,-0.9279769615195619,0.7043523602321216,1.6184309120947376,-1.2645111284729467,0.52505852143088,0.6444391711005218,0.3517482160160497,0.2676826396325352
1982,6,1982.46,-0.9079269246869046,0.7073854812704212,1.6189953980169776,-1.2633301520456257,0.5220050408494844,0.6344627672480172,0.3476610331903878,0.2641181882263487
1983,6,1983.46,-0.8795681452281627,0.7105957997359837,1.6195612218699011,-1.2621457638313842,0.5197885767529528,0.6232572082589453,0.34688033971093635,0.26231602313531766
1984,6,1984.46,-0.8577399729504123,0.7134448929323298,1.620138753674098,-1.2609799319356654,0.500583786087344,0.6156914441739503,0.3435499469408078,0.25950194707450597
1985,6,1985.46,-0.8709817381699736,0.7161283272420746,1.620998010437205,-1.2591541617027673,0.4977010266752335,0.6074847782146088,0.34307785190459483,0.2577186188640514
1986,6,1986.46,-0.8939144302931368,0.7191203559124233,1.622428548210479,-1.2558746507552314,0.4942024043509259,0.5986785387678013,0.34051583359624954,0.256514151846551
1987,6,1987.46,-0.9785124380079822,0.7225506955296055,1.6244866732003516,-1.2509788304365088,0.493129234996611,0.5935950959407496,0.33811345515969193,0.25536496389871577
1988,6,1988.46,-1.0355295104981508,0.7287899681714975,1.6272669747247903,-1.2441466079358179,0.4898463329836853,0.5901341021079842,0.3393706534659048,0.25354489786695406
1989,6,1989.46,-1.0788356679088622,0.7374590828685541,1.6307086279626901,-1.2355705439772038,0.5089656156650655,0.5810228020524772,0.3375780726311537,0.25135573010356504
1990,6,1990.46,-1.1066199113395498,0.7473020878887837,1.6344729039516608,-1.2260597588232969,0.5006934283247634,0.5682165332221256,0.33953895266849304,0.24997953075583593
1991,6,1991.46,-1.1260487654744509,0.7576389700594177,1.6381980965857679,-1.2165632396158657,0.5088751371297678,0.5597082137506115,0.33614856126291853,0.24802659072269692
1992,6,1992.46,-1.1345102395318065,0.7691334779410681,1.6422085346707433,-1.2063824074078013,0.5084881387685051,0.5481312131819518,0.33399422335544343,0.24859843695498943
1993,6,1993.46,-1.1435984503110035,0.7807496396613942,1.646350310418427,-1.1956731959975002,0.48828847838741873,0.5416743380360728,0.33160032743224505,0.24750869750301074
1994,6,1994.46,-1.159843585229197,0.7917810164185539,1.6504076632857334,-1.185077596810359,0.4765766580902081,0.5320660402893981,0.3295961465562607,0.2465714094931396
1995,6,1995.46,-1.1819502509613073,0.8021771232463948,1.6542934063335508,-1.1749494275196355,0.4565588208692268,0.5257098006282952,0.3272442066574798,0.24378220891212246
1996,6,1996.46,-1.187881365792549,0.8132041407595807,1.6578327548001255,-1.1663954298730062,0.4433315549290809,0.5128805441207676,0.3248143313834842,0.2406208992907685
1997,6,1997.46,-1.1772591258346665,0.8266506166226577,1.6621336186968847,-1.1565428620210128,0.4264199936932887,0.5092763428344501,0.32210151874909704,0.23840768313024502
1998,6,1998.46,-1.3363609043606175,0.8359585848139091,1.668029190668591,-1.1421444814188817,0.4410823573781484,0.4978174286610826,0.31930207830520074,0.23719710585329082
1999,6,1999.46,-1.5118570840126608,0.8515756445286229,1.676444395649611,-1.1212820695832022,0.4360631525601426,0.4843730898326302,0.3175109058918011,0.2351389374744356
2000,6,2000.46,-1.6994172808817467,0.8721305364899763,1.6870264502049679,-1.0947096140213262,0.4435311274647713,0.47496307293291967,0.3161412241620886,0.23639103642584564
2001,6,2001.46,-1.757674871112816,0.9100060118633383,1.7001865453686946,-1.0626015844820103,0.42178368688220197,0.4643230196209165,0.31377344310584115,0.2329343783708334
2002,6,2002.46,-1.3585225642041945,0.9827224366237374,1.7171846161026803,-1.0232941229452395,0.4073483411348318,0.45173456898795056,0.3113601869103073,0.23222567828394372
2003,6,2003.46,0.17790627257218272,1.1456692849646042,1.7446836339640956,-0.964254738966183,0.3973139780804708,0.4436050165630052,0.308449597548041,0.23111541532738425
2004,6,2004.46,1.6788490867502235,1.3337808251839485,1.7846759155439862,-0.8830755202932618,0.40567266154650516,0.43181882258477755,0.30691950920404765,0.2301671266863011
2005,6,2005.46,3.0455923666586813,1.5262745069652628,1.8358475901624842,-0.7640600366825169,0.40142973735754983,0.4229655900587694,0.3035848025478822,0.22768282732194942
2006,6,2006.46,4.027041307821528,1.68746811292975,1.8821648783788267,-0.637362559362649,0.37423212082782353,0.4111424814976968,0.30234232091217733,0.2277573269844143
2007,6,2007.46,4.103074401710967,1.779115893227533,1.9159011430972948,-0.5458156707479852,0.37470741311121425,0.3943104556957225,0.3001872183596211,0.2288996081898402
2008,6,2008.46,4.081202687810929,1.8560623121823063,1.9433708594380104,-0.47448387056297614,0.3667296454318518,0.3852033983683228,0.2974412171379304,0.23035316312363877
2009,6,2009.46,3.8673992214091726,1.9147792458204584,1.9662430736287657,-0.419260882366173,0.37318842425439375,0.3846184425015944,0.29581553948939004,0.23180985398727844
