# EDGAR v4?,,,,
# UNITS: Gg/yr,,,,
year,box_0,box_1,box_2,box_3
1970,0,0,0,0
1971,0,0,0,0
1972,0,0,0,0
1973,0,0,0,0
1974,0,0,0,0
1975,0,0,0,0
1976,0,0,0,0
1977,0,0,0,0
1978,0,0,0,0
1979,0,0,0,0
1980,0,0,0,0
1981,0,0,0,0
1982,0,0,0,0
1983,0,0,0,0
1984,0,0,0,0
1985,0,0,0,0
1986,0,0,0,0
1987,0,0,0,0
1988,0,0,0,0
1989,0,0,0,0
1990,0,0,0,0
1991,0,0,0,0
1992,0,0,0,0
1993,0,0,0,0
1994,0,0,0,0
1995,0,0,0,0
1996,0,0,0,0
1997,0,0,0,0
1998,0,0,0,0
1999,0,0,0,0
2000,0,0,0,0
2001,0,0,0,0
2002,0.0579,0.0044,0.0004,0.001
2003,0.3245,0.025,0.0026,0.0057
2004,0.7166,0.0557,0.0066,0.0126
2005,0.8341,0.0654,0.0085,0.0146
2006,1.1452,0.0892,0.0109,0.0201
2007,1.3544,0.1071,0.0131,0.0236
2008,1.5605,0.1234,0.0151,0.0272
2009,1.5605,0.1234,0.0151,0.0272
2010,1.5605,0.1234,0.0151,0.0272
2011,1.5605,0.1234,0.0151,0.0272
2012,1.5605,0.1234,0.0151,0.0272
2013,1.5605,0.1234,0.0151,0.0272
2014,1.5605,0.1234,0.0151,0.0272
2015,1.5605,0.1234,0.0151,0.0272
2016,1.5605,0.1234,0.0151,0.0272
2017,1.5605,0.1234,0.0151,0.0272
2018,1.5605,0.1234,0.0151,0.0272
2019,1.5605,0.1234,0.0151,0.0272
2020,1.5605,0.1234,0.0151,0.0272
2021,1.5605,0.1234,0.0151,0.0272
2022,1.5605,0.1234,0.0151,0.0272
2023,1.5605,0.1234,0.0151,0.0272
2024,1.5605,0.1234,0.0151,0.0272
2025,1.5605,0.1234,0.0151,0.0272
2026,1.5605,0.1234,0.0151,0.0272
2027,1.5605,0.1234,0.0151,0.0272
2028,1.5605,0.1234,0.0151,0.0272
