# AGAGE data for HFC-365mfc
# Created by lw13938 on 2024-05-29 14:28:37.290994
# Contact AGAGE data owners before use 
# This file contains data from the following sites/instruments: 
#===================================================
# MHD 
#   1. Medusa
#   2. ADS
#  Instruments averaged
#------------------
# THD 
#   1. Medusa
#------------------
# RPB 
#   1. Medusa
#------------------
# SMO 
#   1. Medusa
#------------------
# CGO 
#   1. Medusa
#   2. ADS
#  Instruments averaged
#------------------
# SCALE: SIO-14
# UNITS: ppt
var,mf,mf,mf,mf,mf_variability,mf_variability,mf_variability,mf_variability,sites,sites,sites,sites,instruments,instruments,instruments,instruments
box,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
2003-03-01,0.083,,,,0.024413162433408745,,,,MHD,,,,|ADS|,,,
2003-04-01,0.096,,,,0.027988569095257442,,,,MHD,,,,|ADS|,,,
2003-05-01,0.09,,,,0.025811818998280615,,,,MHD,,,,|ADS|,,,
2003-06-01,0.086,,,,0.023799369739554026,,,,MHD,,,,|ADS|,,,
2003-07-01,0.083,,,,0.025278498768716472,,,,MHD,,,,|ADS|,,,
2003-08-01,0.079,,,,0.025873200420512343,,,,MHD,,,,|ADS|,,,
2003-09-01,0.08800000000000001,,,,0.01924162155328911,,,,MHD,,,,|ADS|,,,
2003-10-01,0.107,,,,0.02337953164629266,,,,MHD,,,,|ADS|,,,
2003-11-01,0.11,,,,0.02229910312097776,,,,MHD,,,,|ADS|,,,
2003-12-01,0.106,,,,0.027960865508778514,,,,MHD,,,,|ADS|,,,
2004-01-01,0.125,,,,0.024648782931414686,,,,MHD,,,,|ADS|,,,
2004-02-01,0.14,,,,0.025238858928247926,,,,MHD,,,,|ADS|,,,
2004-03-01,0.16,,,0.068,0.028844410203711916,,,0.025160286166894048,MHD,,,CGO,|ADS|,,,|ADS
2004-04-01,0.183,,,0.069,0.03712819009862991,,,0.02985167499488094,MHD,,,CGO,|ADS|,,,|ADS
2004-05-01,0.20199999999999999,,,0.067,0.03865346038843094,,,0.025099850597164915,MHD,,,CGO,|ADS|,,,|ADS
2004-06-01,0.217,,,0.073,0.03377132659520499,,,0.023683380248604717,MHD,,,CGO,|ADS|,,,|ADS
2004-07-01,0.20800000000000002,,,0.08,0.037609041466115566,,,0.02683281572999748,MHD,,,CGO,|ADS|,,,|ADS
2004-08-01,0.22,,,0.081,0.037121422386541175,,,0.026900232341004044,MHD,,,CGO,|ADS|,,,|ADS
2004-09-01,0.21100000000000002,,,0.08900000000000001,0.03592662661592374,,,0.02834118028593728,MHD,,,CGO,|ADS|,,,|ADS
2004-10-01,0.23800000000000002,,,0.099,0.04358313894156776,,,0.03710151614152716,MHD,,,CGO,|ADS|,,,|ADS
2004-11-01,0.24100000000000002,,,0.099,0.045725512572304755,,,0.030814322968385988,MHD,,,CGO,|ADS|,,,|ADS
2004-12-01,0.244,,,0.12300000000000001,0.04489498858447344,,,0.03868336205657414,MHD,,,CGO,|ADS|,,,|ADS
2005-01-01,0.264,,,,0.054883148597725334,,,,MHD,,,,Medusa||,,,|
2005-02-01,0.27699999999999997,,,,0.05497638129233317,,,,MHD,,,,Medusa||,,,|
2005-03-01,0.278,,,,0.054441620108148875,,,,MHD,,,,Medusa||,,,|
2005-04-01,0.32,,,,0.062481997407253236,,,,MHD,,,,Medusa||,,,|
2005-05-01,0.321,,,0.131,0.05448552560084192,,,0.026648123761345753,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2005-06-01,0.3325,,,0.138,0.058724063423778845,,,0.028097864687552328,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2005-07-01,0.3245,,,0.145,0.05691665507564548,,,0.029547631038714422,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2005-08-01,0.312,,,0.152,0.052595056801946705,,,0.02904892424858449,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2005-09-01,0.33199999999999996,,,0.161,0.057881689678170235,,,0.03135637893635042,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2005-10-01,0.3605,,,0.163,0.06258079278021332,,,0.03642530027329905,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2005-11-01,0.376,,,0.184,0.06943493357093387,,,0.03529532546952925,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2005-12-01,0.37849999999999995,,,0.18,0.06973987829785767,,,0.036124783736376884,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2006-01-01,0.384,,,0.179,0.06714171579577037,,,0.03289259035101979,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2006-02-01,0.397,,,0.187,0.07037366339760918,,,0.03279942834867705,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2006-03-01,0.4095,,,0.201,0.07094561737697404,,,0.03283325296098454,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2006-04-01,0.4235,,,0.212,0.07046755015608248,,,0.03516020477756066,THD|MHD,,,CGO,Medusa||Medusa,,,Medusa|
2006-05-01,0.438,0.359,0.223,0.223,0.07374781352691075,0.05895610655394401,0.040036264810793726,0.03752202686423003,THD|MHD,RPB,SMO,CGO,Medusa||Medusa,Medusa,Medusa,Medusa|
2006-06-01,0.446,0.385,0.239,0.231,0.07527190711015631,0.06602319668116653,0.03925840674301493,0.03904641468816311,THD|MHD,RPB,SMO,CGO,Medusa||Medusa,Medusa,Medusa,Medusa|
2006-07-01,0.43200000000000005,0.409,0.248,0.239,0.07205060721465158,0.07608431178633344,0.040494937955255585,0.04154783387855497,THD|MHD,RPB,SMO,CGO,Medusa||Medusa,Medusa,Medusa,Medusa|
2006-08-01,0.4505,0.36700000000000005,0.259,0.244,0.07353489392798497,0.07303767863233333,0.04201574109783142,0.04376711093960853,THD|MHD,RPB,SMO,CGO,Medusa||Medusa,Medusa,Medusa,Medusa|
2006-09-01,0.4605,0.39399999999999996,0.261,0.254,0.07550897711530728,0.08350934079490749,0.04125193934835064,0.04728223767970378,THD|MHD,RPB,SMO,CGO,Medusa||Medusa,Medusa,Medusa,Medusa|
2006-10-01,0.474,0.389,0.267,0.266,0.07736575469805745,0.06963276886638933,0.04350864856554384,0.04874433300395031,THD|MHD,RPB,SMO,CGO,Medusa||Medusa,Medusa,Medusa,Medusa|
2006-11-01,0.494,0.418,0.28,0.262,0.08111602800926584,0.07085400482682683,0.046097722286464436,0.04455883750727795,THD|MHD,RPB,SMO,CGO,Medusa||Medusa,Medusa,Medusa,Medusa|
