# Global annual emissions for HFC-365mfc 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:38:49.665865+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Global_annual_emissions,Global_annual_emissions_1-sigma
2003,6,2003.46,1.1480102463926756,0.19702401302802466
2004,6,2004.46,2.146222174084539,0.3307732679907566
2005,6,2005.46,2.6393182742595056,0.4060026047253764
2006,6,2006.46,3.079676400619551,0.4771621003698696
2007,6,2007.46,3.1731016488432604,0.513664173971168
2008,6,2008.46,3.2189861755032765,0.5406618487026629
2009,6,2009.46,3.127165080911501,0.543528799310835
2010,6,2010.46,3.241828488135256,0.5704900480390385
2011,6,2011.46,3.4654975091464926,0.6230975077188942
2012,6,2012.46,3.7173112587033805,0.6826812722637262
2013,6,2013.46,3.9769169154033803,0.7325663563224397
2014,6,2014.46,4.233546649745617,0.7911283757754611
2015,6,2015.46,4.422636296020781,0.8348734373174536
2016,6,2016.46,4.512814657877475,0.8713227039962407
2017,6,2017.46,4.51084517019886,0.8960344407034418
2018,6,2018.46,4.438498878081266,0.9152432324572205
2019,6,2019.46,4.323156881957076,0.9179942633212845
2020,6,2020.46,4.193684679331942,0.9225022847358514
2021,6,2021.46,4.06622451792654,0.9291054812908068
2022,6,2022.46,3.944488851280075,0.926757434279132
2023,6,2023.46,3.8582802449255644,0.9418722152160419
2024,6,2024.46,3.8424367566841027,0.9554839091828645
