# Global annual mole fraction Jan for HFC-365mfc 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:38:49.632483+00:00 
# Units: ppt 
Year,Month,Decimal_date,Global_annual_mole_fraction_Jan,Global_annual_mole_fraction_Jan_1-sigma
2003,12,2003.96,0.1134410423008332,0.01681720944081767
2004,12,2004.96,0.18753408702692034,0.0268328766632462
2005,12,2005.96,0.27238436650956355,0.03869814097705121
2006,12,2006.96,0.36084320015158017,0.05128668013256669
2007,12,2007.96,0.4410223894235727,0.06260960626245171
2008,12,2008.96,0.5112360136119058,0.07254576891232163
2009,12,2009.96,0.5704955223831274,0.08084132210770477
2010,12,2010.96,0.6281128896791325,0.08904592895495861
2011,12,2011.96,0.6886931539450009,0.09754187463502731
2012,12,2012.96,0.7527302199129308,0.10646319123870462
2013,12,2013.96,0.8199025462441242,0.11603407353792357
2014,12,2014.96,0.8892803442264849,0.1258046966430624
2015,12,2015.96,0.957633837137827,0.13573555295163506
2016,12,2016.96,1.0210269699597359,0.14470313358059864
2017,12,2017.96,1.076501359409592,0.15252824140670784
2018,12,2018.96,1.122441959772567,0.15895865034107112
2019,12,2019.96,1.158595536620346,0.16389569731106468
2020,12,2020.96,1.185843535819445,0.1675941667429012
2021,12,2021.96,1.2054219059231632,0.17053539624226471
2022,12,2022.96,1.21862135561298,0.172722209127261
2023,12,2023.96,1.2278062750090324,0.17427513192161262
