# Semihemispheric annual emissions for HFC-365mfc 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:38:49.679229+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_box0,Semihemispheric_annual_emissions_box1,Semihemispheric_annual_emissions_box2,Semihemispheric_annual_emissions_box3,Semihemispheric_annual_emissions_1-sigma_box0,Semihemispheric_annual_emissions_1-sigma_box1,Semihemispheric_annual_emissions_1-sigma_box2,Semihemispheric_annual_emissions_1-sigma_box3
2003,6,2003.46,0.3413740565881862,0.3846092216838826,0.8227122409288218,-0.4006852728082153,0.20710259441338572,0.26666882615035364,0.2190386951548629,0.14406562675066772
2004,6,2004.46,1.244396794822585,0.4527238252838242,0.8321669911508932,-0.3830654371727631,0.27252236129296326,0.26465575753126597,0.21875176705998411,0.1430181391464764
2005,6,2005.46,1.67404925015153,0.48997990197087277,0.8403849317780631,-0.3650958096409604,0.32314024742879605,0.2616048418494744,0.21956597438780973,0.1425401132488203
2006,6,2006.46,2.048142509381553,0.5264855431615789,0.8484098987428372,-0.3433615506664182,0.37277104194447586,0.2608419379077844,0.2203074759728535,0.14260254767548108
2007,6,2007.46,2.103278001988721,0.5410954645845978,0.8553370492696274,-0.32660886699968655,0.3843942940045808,0.2618110007830299,0.22166874450014803,0.14442249385581435
2008,6,2008.46,2.121043726203314,0.5493856579148789,0.8611058025310104,-0.3125490111459262,0.394932835226283,0.2652472926426041,0.22373754687677544,0.14544185553014866
2009,6,2009.46,2.0184485381012744,0.5472923450497936,0.864656031822317,-0.3032318340618834,0.38533841599918917,0.2653975647513432,0.22638894007976096,0.14602382009022039
2010,6,2010.46,2.105268649923555,0.5601994026739411,0.8690555285530938,-0.292695093015333,0.39947404907661044,0.26918495805253245,0.22846875655246612,0.1477799563979495
2011,6,2011.46,2.2906798187467063,0.5817310394957608,0.8741622957004825,-0.28107564479645625,0.433928213699241,0.2704707305918917,0.22991029240493552,0.1479480851680687
2012,6,2012.46,2.501909706941752,0.6057631729797598,0.8792810646211141,-0.2696426858392447,0.479404375318403,0.2727640208937707,0.23231198173144216,0.14784698279257977
2013,6,2013.46,2.720340442897562,0.6305996507012529,0.8844287994471888,-0.25845197764262245,0.5172508482685927,0.27745450624112256,0.233144714978742,0.14899445657300153
2014,6,2014.46,2.937161825351818,0.6546659511239986,0.8894312367055793,-0.24771236343577788,0.5599834040230253,0.2822115266730047,0.2349641570748256,0.1483414553778134
2015,6,2015.46,3.092609405578876,0.6741309998696997,0.8938897788635419,-0.2379938882913356,0.5893423117175413,0.28843223178653393,0.23724034680898964,0.14781280686905027
2016,6,2016.46,3.1589112411908666,0.6863845195534671,0.8974891757179823,-0.22997027858484087,0.6178654691972806,0.2931195744403785,0.24053770736773283,0.14956278858437003
2017,6,2017.46,3.142957592725842,0.691813294244536,0.9000860724805296,-0.22401178925204646,0.6324456326794644,0.29581980524569446,0.2438745165980931,0.15078525508962215
2018,6,2018.46,3.0649862457400263,0.6915777227069347,0.9018038512328875,-0.21986894159858095,0.6422004117714596,0.2999776960225172,0.24766325513302437,0.15204068232414106
2019,6,2019.46,2.9500992094110816,0.687464002077501,0.9027891501077822,-0.21719547963928731,0.636558599110266,0.305276382524983,0.2515381631822759,0.15417486536791547
2020,6,2020.46,2.823778808521982,0.6819380228294668,0.9033511538417859,-0.21538330586129162,0.6322078124065501,0.30781212824306164,0.25571252413286133,0.15623042315406585
2021,6,2021.46,2.7009547820056947,0.6759247354576522,0.9035970017101423,-0.2142520012469481,0.629870065571295,0.3114799272827802,0.2596545669027328,0.15598976291706562
2022,6,2022.46,2.5853653551294715,0.6693293359783147,0.9035641521701795,-0.21376999199788982,0.6230965302921974,0.31613769564583977,0.26304290105107714,0.15784149633298142
2023,6,2023.46,2.5040455878618917,0.6644865485554127,0.9034232641368863,-0.2136751556286255,0.6329229256124385,0.320277802387991,0.266158707270045,0.1603785207855174
2024,6,2024.46,2.489103766503081,0.663591998304735,0.9033888537253564,-0.21364786184906903,0.6517941582245207,0.32492437840534194,0.26725769503837704,0.1614294139425896
