# Semihemispheric annual emissions with no systematic uncertainty for HFC-365mfc 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:38:49.687888+00:00 
# Units: Gg/yr 
Year,Month,Decimal_date,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_box3,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box0,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box1,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box2,Semihemispheric_annual_emissions_with_no_systematic_uncertainty_1-sigma_box3
2003,6,2003.46,0.3413740565881862,0.3846092216838826,0.8227122409288218,-0.4006852728082153,0.1886583649744309,0.24007512345819845,0.1826632331566191,0.13136318470121955
2004,6,2004.46,1.244396794822585,0.4527238252838242,0.8321669911508932,-0.3830654371727631,0.19921790332719896,0.23701029724324807,0.18136320342063728,0.1304767618006503
2005,6,2005.46,1.67404925015153,0.48997990197087277,0.8403849317780631,-0.3650958096409604,0.20761926135465408,0.23428579953773618,0.17983486347491134,0.13123925096775524
2006,6,2006.46,2.048142509381553,0.5264855431615789,0.8484098987428372,-0.3433615506664182,0.2164038615213128,0.2305753793170252,0.1793785063992659,0.13223012561997857
2007,6,2007.46,2.103278001988721,0.5410954645845978,0.8553370492696274,-0.32660886699968655,0.2128677562867793,0.22598685030210547,0.1795796542318277,0.1333960810608687
2008,6,2008.46,2.121043726203314,0.5493856579148789,0.8611058025310104,-0.3125490111459262,0.20691191903238076,0.2252030328698424,0.18000740732494175,0.13326857901443248
2009,6,2009.46,2.0184485381012744,0.5472923450497936,0.864656031822317,-0.3032318340618834,0.2130874955466313,0.22619767928104462,0.17950681698268536,0.13316525369769577
2010,6,2010.46,2.105268649923555,0.5601994026739411,0.8690555285530938,-0.292695093015333,0.21419157311601025,0.22735994058267006,0.17946347004917348,0.13384021479831762
2011,6,2011.46,2.2906798187467063,0.5817310394957608,0.8741622957004825,-0.28107564479645625,0.2189287249011014,0.230568597291707,0.17842663318498003,0.1355389737135626
2012,6,2012.46,2.501909706941752,0.6057631729797598,0.8792810646211141,-0.2696426858392447,0.22389532564233125,0.23271229825255982,0.1783477835705673,0.13665584679930348
2013,6,2013.46,2.720340442897562,0.6305996507012529,0.8844287994471888,-0.25845197764262245,0.22682105949002662,0.2349521995103332,0.17925166796410705,0.13791008773638314
2014,6,2014.46,2.937161825351818,0.6546659511239986,0.8894312367055793,-0.24771236343577788,0.23560689702471213,0.23749053528788355,0.1796391334782236,0.1378632347410196
2015,6,2015.46,3.092609405578876,0.6741309998696997,0.8938897788635419,-0.2379938882913356,0.2441115833521223,0.24075746634026501,0.18006839948840977,0.14028193591881732
2016,6,2016.46,3.1589112411908666,0.6863845195534671,0.8974891757179823,-0.22997027858484087,0.2395222888122605,0.2434678303522707,0.17947379391990484,0.1414261636983444
2017,6,2017.46,3.142957592725842,0.691813294244536,0.9000860724805296,-0.22401178925204646,0.24511842795556144,0.24794672224040443,0.17946884218562834,0.14400269424207288
2018,6,2018.46,3.0649862457400263,0.6915777227069347,0.9018038512328875,-0.21986894159858095,0.24973982836149902,0.2514694562353052,0.18007689225222062,0.14540721248019953
2019,6,2019.46,2.9500992094110816,0.687464002077501,0.9027891501077822,-0.21719547963928731,0.25560646641849827,0.25267347172578014,0.18050304991548746,0.14680481355972677
2020,6,2020.46,2.823778808521982,0.6819380228294668,0.9033511538417859,-0.21538330586129162,0.25561220020995407,0.2548018461633694,0.180979597256444,0.1480512976401604
2021,6,2021.46,2.7009547820056947,0.6759247354576522,0.9035970017101423,-0.2142520012469481,0.2661019104297773,0.2575374753125322,0.18193186076346826,0.14986196750346764
2022,6,2022.46,2.5853653551294715,0.6693293359783147,0.9035641521701795,-0.21376999199788982,0.2763463954554302,0.2636466188653869,0.18178876976497546,0.15158483077636717
2023,6,2023.46,2.5040455878618917,0.6644865485554127,0.9034232641368863,-0.2136751556286255,0.30182558650048935,0.26829087612804303,0.1820630166839905,0.1530530337717203
2024,6,2024.46,2.489103766503081,0.663591998304735,0.9033888537253564,-0.21364786184906903,0.3402598878006041,0.27436799378270377,0.1833125723427071,0.1549169943346378
