# Semihemispheric mole fractions for HFC-365mfc 
# Outputs from AGAGE 12-box model 
# Time stamps are the centre of the averaging period 
#            ||90-30N| 30-0N| 0-30S | 30-90S
#            ||=============================
# 1000-500hPa|| Box0 | Box1 | Box2  | Box3
#  500-200hPa|| Box4 | Box5 | Box6  | Box7
#  200-   hPa|| Box8 | Box9 | Box10 | Box11
# Contact Matt Rigby or Luke Western (University of Bristol) 
# matt.rigby@bristol.ac.uk/luke.western@bristol.ac.uk 
# File created 2024-05-29 15:38:49.593464+00:00 
# Units: ppt 
Year,Month,Decimal_date,Semihemispheric_mole_fractions_box0,Semihemispheric_mole_fractions_box1,Semihemispheric_mole_fractions_box2,Semihemispheric_mole_fractions_box3,Semihemispheric_mole_fractions_1-sigma_box0,Semihemispheric_mole_fractions_1-sigma_box1,Semihemispheric_mole_fractions_1-sigma_box2,Semihemispheric_mole_fractions_1-sigma_box3
2003,1,2003.0,,,,,,,,
2003,2,2003.08,,,,,,,,
2003,3,2003.17,0.083,,,,0.024413162433408745,,,
2003,4,2003.25,0.096,,,,0.027988569095257442,,,
2003,5,2003.33,0.09,,,,0.02581181899828061,,,
2003,6,2003.42,0.086,,,,0.023799369739554026,,,
2003,7,2003.5,0.083,,,,0.025278498768716472,,,
2003,8,2003.58,0.079,,,,0.025873200420512343,,,
2003,9,2003.67,0.08800000000000001,,,,0.01924162155328911,,,
2003,10,2003.75,0.107,,,,0.02337953164629266,,,
2003,11,2003.83,0.11,,,,0.02229910312097776,,,
2003,12,2003.92,0.106,,,,0.027960865508778517,,,
2004,1,2004.0,0.125,,,,0.024648782931414686,,,
2004,2,2004.08,0.14,,,,0.02523885892824793,,,
2004,3,2004.17,0.16,,,0.068,0.02884441020371192,,,0.025160286166894048
2004,4,2004.25,0.183,,,0.069,0.037128190098629915,,,0.029851674994880936
2004,5,2004.33,0.202,,,0.067,0.03865346038843094,,,0.025099850597164915
2004,6,2004.42,0.217,,,0.073,0.03377132659520499,,,0.023683380248604717
2004,7,2004.5,0.208,,,0.08,0.037609041466115566,,,0.026832815729997482
2004,8,2004.58,0.22,,,0.081,0.037121422386541175,,,0.026900232341004044
2004,9,2004.67,0.211,,,0.08900000000000001,0.03592662661592374,,,0.02834118028593728
2004,10,2004.75,0.238,,,0.099,0.04358313894156776,,,0.03710151614152716
2004,11,2004.83,0.241,,,0.099,0.04572551257230476,,,0.030814322968385988
2004,12,2004.92,0.244,,,0.123,0.04489498858447344,,,0.03868336205657414
2005,1,2005.0,0.264,,,,0.05488314859772533,,,
2005,2,2005.08,0.277,,,,0.05497638129233317,,,
2005,3,2005.17,0.278,,,,0.05444162010814888,,,
2005,4,2005.25,0.32,,,,0.062481997407253236,,,
2005,5,2005.33,0.321,,,0.131,0.05448552560084192,,,0.026648123761345757
2005,6,2005.42,0.3325,,,0.138,0.05872406342377885,,,0.028097864687552328
2005,7,2005.5,0.3245,,,0.145,0.05691665507564547,,,0.029547631038714425
2005,8,2005.58,0.312,,,0.152,0.05259505680194671,,,0.029048924248584487
2005,9,2005.67,0.332,,,0.161,0.057881689678170235,,,0.03135637893635042
2005,10,2005.75,0.3605,,,0.163,0.06258079278021332,,,0.03642530027329905
2005,11,2005.83,0.376,,,0.184,0.06943493357093387,,,0.03529532546952925
2005,12,2005.92,0.3785,,,0.18,0.06973987829785767,,,0.036124783736376884
2006,1,2006.0,0.384,,,0.179,0.06714171579577037,,,0.03289259035101979
2006,2,2006.08,0.397,,,0.187,0.07037366339760917,,,0.03279942834867705
2006,3,2006.17,0.4095,,,0.201,0.07094561737697404,,,0.032833252960984535
2006,4,2006.25,0.4235,,,0.212,0.07046755015608247,,,0.03516020477756066
2006,5,2006.33,0.43799999999999994,0.359,0.223,0.223,0.07374781352691075,0.05895610655394401,0.040036264810793726,0.03752202686423003
2006,6,2006.42,0.446,0.385,0.239,0.231,0.07527190711015631,0.06602319668116652,0.03925840674301493,0.03904641468816311
2006,7,2006.5,0.4320000000000001,0.409,0.248,0.239,0.07205060721465158,0.07608431178633343,0.04049493795525559,0.04154783387855497
2006,8,2006.58,0.4505,0.3670000000000001,0.259,0.244,0.07353489392798497,0.07303767863233332,0.04201574109783142,0.04376711093960853
2006,9,2006.67,0.4605,0.394,0.261,0.254,0.07550897711530727,0.08350934079490749,0.041251939348350634,0.047282237679703784
2006,10,2006.75,0.474,0.389,0.267,0.266,0.07736575469805745,0.06963276886638932,0.04350864856554384,0.04874433300395031
2006,11,2006.83,0.494,0.418,0.28,0.262,0.08111602800926583,0.07085400482682683,0.046097722286464436,0.04455883750727795
2006,12,2006.92,0.4925000000000001,0.431,0.297,0.263,0.08050786064105793,0.07006156221495492,0.04925142129928841,0.044230108523493364
2007,1,2007.0,0.4845,0.422,0.299,0.27,0.07862350555018517,0.0684316447266906,0.05086769603589295,0.045169126624277335
2007,2,2007.08,0.499,0.431,0.339,0.277,0.08241827770585843,0.07399744928036371,0.0546417651618247,0.04798335648951623
2007,3,2007.17,0.502,0.454,0.339,0.287,0.08503140596273827,0.0794896848653962,0.0546417651618247,0.050816360554451365
2007,4,2007.25,0.519,0.443,0.334,0.307,0.08475182888882105,0.07290817855357518,0.0539445085249648,0.05061227617880864
2007,5,2007.33,0.5269999999999999,0.482,0.34,0.317,0.08491114473377448,0.08847762428998644,0.05554277630799527,0.05239277144797744
2007,6,2007.42,0.536,0.47,0.334,0.327,0.08829728195137153,0.07915964881175258,0.0539445085249648,0.05335637262783144
2007,7,2007.5,0.5255,,0.339,0.333,0.08707686618729454,,0.0571114918383332,0.05309427935286437
2007,8,2007.58,0.5205,0.473,0.349,0.336,0.08597502907821547,0.0856615578891722,0.06084013888873036,0.0538624173241417
2007,9,2007.67,0.5355,0.476,0.355,0.34700000000000003,0.08628067932625473,0.08716627788313552,0.05761564457679876,0.05650842857485953
2007,10,2007.75,0.5565,0.468,0.363,0.344,0.09013365423081436,0.082322779350554,0.057669771111042226,0.059190877675533736
2007,11,2007.83,0.552,0.484,0.381,0.342,0.08841289498710016,0.07974810342572416,0.06237886260585392,0.05470548418577429
2007,12,2007.92,0.556,0.487,0.382,0.34700000000000003,0.0912390267374658,0.08057482547297264,0.0629228893170045,0.05540940804592665
2008,1,2008.0,0.5589999999999999,0.501,0.402,0.345,0.08840148471603858,0.07952057909748897,0.0649006163298932,0.057044390609419265
2008,2,2008.08,0.5665,0.499,0.395,0.358,0.0911578335909756,0.0810155694913021,0.06355755265898774,0.056962180435794416
2008,3,2008.17,0.5835,0.504,0.396,0.363,0.09541816192423748,0.08248854465924345,0.06236473362406032,0.058726505940673836
2008,4,2008.25,0.6054999999999999,0.495,0.4,0.368,0.1011406477386812,0.08166432819781229,0.06293647591023825,0.06019169377912537
2008,5,2008.33,0.629,0.495,0.41,0.378,0.10228476181719348,0.0797123735689761,0.06601704325399615,0.062376998965965
